,classification,mol_sentence
224,1.0,MolSentence with 10 words
225,1.0,MolSentence with 24 words
226,1.0,MolSentence with 24 words
227,1.0,MolSentence with 12 words
228,1.0,MolSentence with 34 words
229,1.0,MolSentence with 20 words
230,1.0,MolSentence with 16 words
231,1.0,MolSentence with 28 words
232,1.0,MolSentence with 22 words
233,1.0,MolSentence with 20 words
234,1.0,MolSentence with 20 words
235,1.0,MolSentence with 6 words
236,0.0,MolSentence with 56 words
237,0.0,MolSentence with 54 words
238,0.0,MolSentence with 52 words
239,0.0,MolSentence with 56 words
240,1.0,MolSentence with 72 words
241,1.0,MolSentence with 66 words
242,1.0,MolSentence with 56 words
243,1.0,MolSentence with 68 words
244,1.0,MolSentence with 56 words
245,1.0,MolSentence with 62 words
246,1.0,MolSentence with 68 words
247,1.0,MolSentence with 68 words
248,1.0,MolSentence with 60 words
249,1.0,MolSentence with 50 words
250,1.0,MolSentence with 54 words
251,1.0,MolSentence with 54 words
252,1.0,MolSentence with 54 words
253,1.0,MolSentence with 60 words
254,1.0,MolSentence with 56 words
255,1.0,MolSentence with 68 words
256,1.0,MolSentence with 50 words
257,1.0,MolSentence with 64 words
258,1.0,MolSentence with 68 words
259,1.0,MolSentence with 60 words
260,1.0,MolSentence with 60 words
261,1.0,MolSentence with 68 words
262,1.0,MolSentence with 56 words
263,1.0,MolSentence with 58 words
264,1.0,MolSentence with 54 words
265,1.0,MolSentence with 60 words
266,1.0,MolSentence with 64 words
267,1.0,MolSentence with 56 words
268,1.0,MolSentence with 68 words
269,1.0,MolSentence with 56 words
270,1.0,MolSentence with 62 words
271,1.0,MolSentence with 70 words
272,1.0,MolSentence with 68 words
273,1.0,MolSentence with 98 words
274,1.0,MolSentence with 66 words
275,1.0,MolSentence with 54 words
276,1.0,MolSentence with 62 words
277,1.0,MolSentence with 54 words
278,1.0,MolSentence with 56 words
279,1.0,MolSentence with 72 words
280,1.0,MolSentence with 72 words
281,1.0,MolSentence with 62 words
282,1.0,MolSentence with 72 words
283,1.0,MolSentence with 56 words
284,1.0,MolSentence with 64 words
285,1.0,MolSentence with 66 words
286,1.0,MolSentence with 70 words
287,1.0,MolSentence with 72 words
288,1.0,MolSentence with 56 words
289,1.0,MolSentence with 54 words
290,1.0,MolSentence with 58 words
291,1.0,MolSentence with 70 words
292,1.0,MolSentence with 58 words
293,1.0,MolSentence with 64 words
294,1.0,MolSentence with 54 words
295,1.0,MolSentence with 54 words
296,1.0,MolSentence with 62 words
297,1.0,MolSentence with 54 words
298,1.0,MolSentence with 66 words
299,1.0,MolSentence with 60 words
300,1.0,MolSentence with 72 words
301,1.0,MolSentence with 54 words
302,1.0,MolSentence with 60 words
303,1.0,MolSentence with 68 words
304,1.0,MolSentence with 56 words
305,1.0,MolSentence with 58 words
306,1.0,MolSentence with 67 words
307,1.0,MolSentence with 64 words
308,1.0,MolSentence with 66 words
309,1.0,MolSentence with 56 words
310,1.0,MolSentence with 68 words
311,1.0,MolSentence with 58 words
312,1.0,MolSentence with 40 words
313,1.0,MolSentence with 42 words
314,1.0,MolSentence with 46 words
315,1.0,MolSentence with 44 words
316,1.0,MolSentence with 40 words
317,1.0,MolSentence with 54 words
318,1.0,MolSentence with 42 words
319,1.0,MolSentence with 42 words
320,1.0,MolSentence with 38 words
321,1.0,MolSentence with 52 words
322,1.0,MolSentence with 50 words
323,1.0,MolSentence with 54 words
324,1.0,MolSentence with 44 words
325,1.0,MolSentence with 48 words
326,1.0,MolSentence with 44 words
327,1.0,MolSentence with 46 words
328,1.0,MolSentence with 48 words
329,1.0,MolSentence with 44 words
330,1.0,MolSentence with 52 words
331,1.0,MolSentence with 50 words
332,1.0,MolSentence with 40 words
333,1.0,MolSentence with 48 words
334,1.0,MolSentence with 50 words
335,1.0,MolSentence with 42 words
336,1.0,MolSentence with 48 words
337,1.0,MolSentence with 44 words
338,1.0,MolSentence with 40 words
339,1.0,MolSentence with 38 words
340,1.0,MolSentence with 40 words
341,1.0,MolSentence with 40 words
342,1.0,MolSentence with 48 words
343,1.0,MolSentence with 48 words
344,1.0,MolSentence with 46 words
345,1.0,MolSentence with 40 words
346,1.0,MolSentence with 38 words
347,1.0,MolSentence with 42 words
348,1.0,MolSentence with 46 words
349,1.0,MolSentence with 44 words
350,1.0,MolSentence with 46 words
351,1.0,MolSentence with 38 words
352,1.0,MolSentence with 40 words
353,1.0,MolSentence with 54 words
354,1.0,MolSentence with 46 words
355,1.0,MolSentence with 42 words
356,1.0,MolSentence with 46 words
357,1.0,MolSentence with 46 words
358,1.0,MolSentence with 42 words
359,1.0,MolSentence with 44 words
360,1.0,MolSentence with 46 words
361,1.0,MolSentence with 46 words
362,1.0,MolSentence with 40 words
363,1.0,MolSentence with 50 words
364,0.0,MolSentence with 44 words
365,0.0,MolSentence with 50 words
366,0.0,MolSentence with 52 words
367,0.0,MolSentence with 40 words
368,0.0,MolSentence with 44 words
369,0.0,MolSentence with 46 words
370,0.0,MolSentence with 42 words
371,0.0,MolSentence with 52 words
372,1.0,MolSentence with 50 words
373,1.0,MolSentence with 54 words
374,1.0,MolSentence with 60 words
375,1.0,MolSentence with 68 words
376,1.0,MolSentence with 66 words
377,1.0,MolSentence with 67 words
378,1.0,MolSentence with 64 words
379,1.0,MolSentence with 50 words
380,1.0,MolSentence with 52 words
381,1.0,MolSentence with 52 words
382,1.0,MolSentence with 64 words
383,1.0,MolSentence with 50 words
384,1.0,MolSentence with 70 words
385,1.0,MolSentence with 58 words
386,1.0,MolSentence with 70 words
387,1.0,MolSentence with 62 words
388,1.0,MolSentence with 46 words
389,1.0,MolSentence with 50 words
390,1.0,MolSentence with 38 words
391,1.0,MolSentence with 40 words
392,0.0,MolSentence with 44 words
393,1.0,MolSentence with 52 words
394,1.0,MolSentence with 46 words
395,1.0,MolSentence with 48 words
396,1.0,MolSentence with 44 words
397,1.0,MolSentence with 42 words
398,1.0,MolSentence with 38 words
399,1.0,MolSentence with 38 words
400,1.0,MolSentence with 46 words
401,1.0,MolSentence with 42 words
402,1.0,MolSentence with 40 words
403,1.0,MolSentence with 46 words
404,1.0,MolSentence with 42 words
405,1.0,MolSentence with 40 words
406,1.0,MolSentence with 46 words
407,1.0,MolSentence with 46 words
408,1.0,MolSentence with 44 words
409,1.0,MolSentence with 32 words
410,1.0,MolSentence with 34 words
411,1.0,MolSentence with 30 words
412,1.0,MolSentence with 32 words
413,1.0,MolSentence with 38 words
414,1.0,MolSentence with 30 words
415,1.0,MolSentence with 30 words
416,1.0,MolSentence with 26 words
417,1.0,MolSentence with 38 words
418,1.0,MolSentence with 28 words
419,1.0,MolSentence with 32 words
420,1.0,MolSentence with 34 words
421,1.0,MolSentence with 32 words
422,1.0,MolSentence with 32 words
423,1.0,MolSentence with 34 words
424,1.0,MolSentence with 32 words
425,1.0,MolSentence with 32 words
426,1.0,MolSentence with 32 words
427,1.0,MolSentence with 52 words
428,1.0,MolSentence with 54 words
429,1.0,MolSentence with 56 words
430,1.0,MolSentence with 58 words
431,0.0,MolSentence with 54 words
432,0.0,MolSentence with 58 words
433,0.0,MolSentence with 54 words
434,0.0,MolSentence with 54 words
435,0.0,MolSentence with 54 words
436,0.0,MolSentence with 56 words
437,0.0,MolSentence with 54 words
438,0.0,MolSentence with 56 words
439,0.0,MolSentence with 50 words
440,0.0,MolSentence with 56 words
441,0.0,MolSentence with 58 words
442,1.0,MolSentence with 48 words
443,0.0,MolSentence with 54 words
444,0.0,MolSentence with 38 words
445,1.0,MolSentence with 22 words
446,1.0,MolSentence with 20 words
447,1.0,MolSentence with 22 words
448,0.0,MolSentence with 20 words
449,0.0,MolSentence with 16 words
450,0.0,MolSentence with 34 words
451,1.0,MolSentence with 20 words
452,1.0,MolSentence with 22 words
453,1.0,MolSentence with 20 words
454,1.0,MolSentence with 22 words
455,1.0,MolSentence with 30 words
456,1.0,MolSentence with 18 words
457,1.0,MolSentence with 26 words
458,1.0,MolSentence with 30 words
459,1.0,MolSentence with 26 words
460,1.0,MolSentence with 62 words
461,1.0,MolSentence with 66 words
462,1.0,MolSentence with 60 words
463,1.0,MolSentence with 64 words
464,1.0,MolSentence with 70 words
465,1.0,MolSentence with 70 words
466,1.0,MolSentence with 80 words
467,1.0,MolSentence with 64 words
468,1.0,MolSentence with 64 words
469,1.0,MolSentence with 62 words
470,1.0,MolSentence with 68 words
471,1.0,MolSentence with 64 words
472,1.0,MolSentence with 72 words
473,1.0,MolSentence with 62 words
474,1.0,MolSentence with 76 words
475,1.0,MolSentence with 50 words
476,1.0,MolSentence with 54 words
477,1.0,MolSentence with 54 words
478,1.0,MolSentence with 56 words
479,1.0,MolSentence with 58 words
480,1.0,MolSentence with 60 words
481,1.0,MolSentence with 60 words
482,1.0,MolSentence with 60 words
483,1.0,MolSentence with 58 words
484,1.0,MolSentence with 60 words
485,1.0,MolSentence with 76 words
486,1.0,MolSentence with 54 words
487,1.0,MolSentence with 60 words
488,1.0,MolSentence with 60 words
489,1.0,MolSentence with 56 words
490,0.0,MolSentence with 53 words
491,0.0,MolSentence with 48 words
492,0.0,MolSentence with 52 words
493,0.0,MolSentence with 46 words
494,0.0,MolSentence with 68 words
495,0.0,MolSentence with 54 words
496,0.0,MolSentence with 50 words
497,0.0,MolSentence with 56 words
498,0.0,MolSentence with 47 words
499,0.0,MolSentence with 64 words
500,0.0,MolSentence with 54 words
501,0.0,MolSentence with 58 words
502,0.0,MolSentence with 68 words
503,0.0,MolSentence with 66 words
504,0.0,MolSentence with 65 words
505,0.0,MolSentence with 68 words
506,0.0,MolSentence with 64 words
507,0.0,MolSentence with 64 words
508,0.0,MolSentence with 62 words
509,0.0,MolSentence with 70 words
510,0.0,MolSentence with 62 words
511,0.0,MolSentence with 68 words
512,0.0,MolSentence with 66 words
513,0.0,MolSentence with 66 words
514,1.0,MolSentence with 80 words
515,0.0,MolSentence with 76 words
516,0.0,MolSentence with 66 words
517,0.0,MolSentence with 78 words
518,0.0,MolSentence with 62 words
519,0.0,MolSentence with 66 words
520,0.0,MolSentence with 78 words
521,0.0,MolSentence with 76 words
522,0.0,MolSentence with 64 words
523,1.0,MolSentence with 52 words
524,1.0,MolSentence with 50 words
525,1.0,MolSentence with 44 words
526,1.0,MolSentence with 44 words
527,1.0,MolSentence with 48 words
528,1.0,MolSentence with 52 words
529,1.0,MolSentence with 48 words
530,1.0,MolSentence with 44 words
531,1.0,MolSentence with 46 words
532,0.0,MolSentence with 26 words
533,0.0,MolSentence with 30 words
534,1.0,MolSentence with 20 words
535,1.0,MolSentence with 22 words
536,1.0,MolSentence with 26 words
537,1.0,MolSentence with 28 words
538,1.0,MolSentence with 28 words
539,0.0,MolSentence with 26 words
540,1.0,MolSentence with 24 words
541,1.0,MolSentence with 44 words
542,1.0,MolSentence with 38 words
543,1.0,MolSentence with 44 words
544,1.0,MolSentence with 40 words
545,1.0,MolSentence with 42 words
546,1.0,MolSentence with 44 words
547,1.0,MolSentence with 46 words
548,1.0,MolSentence with 36 words
549,1.0,MolSentence with 42 words
550,1.0,MolSentence with 58 words
551,1.0,MolSentence with 52 words
552,1.0,MolSentence with 52 words
553,1.0,MolSentence with 52 words
554,1.0,MolSentence with 58 words
555,1.0,MolSentence with 60 words
556,1.0,MolSentence with 74 words
557,1.0,MolSentence with 60 words
558,1.0,MolSentence with 74 words
559,0.0,MolSentence with 78 words
560,0.0,MolSentence with 76 words
561,0.0,MolSentence with 72 words
562,0.0,MolSentence with 74 words
563,0.0,MolSentence with 96 words
564,0.0,MolSentence with 76 words
565,0.0,MolSentence with 72 words
566,0.0,MolSentence with 94 words
567,0.0,MolSentence with 74 words
568,1.0,MolSentence with 12 words
569,1.0,MolSentence with 24 words
570,1.0,MolSentence with 30 words
571,1.0,MolSentence with 24 words
572,1.0,MolSentence with 26 words
573,1.0,MolSentence with 18 words
574,1.0,MolSentence with 22 words
575,1.0,MolSentence with 32 words
576,1.0,MolSentence with 26 words
577,0.0,MolSentence with 48 words
578,0.0,MolSentence with 50 words
579,0.0,MolSentence with 48 words
580,0.0,MolSentence with 54 words
581,0.0,MolSentence with 52 words
582,0.0,MolSentence with 55 words
583,0.0,MolSentence with 58 words
584,0.0,MolSentence with 58 words
585,0.0,MolSentence with 26 words
586,1.0,MolSentence with 28 words
587,1.0,MolSentence with 26 words
588,1.0,MolSentence with 26 words
589,1.0,MolSentence with 46 words
590,1.0,MolSentence with 36 words
591,1.0,MolSentence with 40 words
592,1.0,MolSentence with 34 words
593,1.0,MolSentence with 36 words
594,1.0,MolSentence with 38 words
595,1.0,MolSentence with 40 words
596,1.0,MolSentence with 36 words
597,1.0,MolSentence with 36 words
598,1.0,MolSentence with 48 words
599,1.0,MolSentence with 38 words
600,1.0,MolSentence with 38 words
601,1.0,MolSentence with 46 words
602,1.0,MolSentence with 44 words
603,1.0,MolSentence with 44 words
604,1.0,MolSentence with 48 words
605,1.0,MolSentence with 44 words
606,1.0,MolSentence with 52 words
607,1.0,MolSentence with 50 words
608,1.0,MolSentence with 42 words
609,1.0,MolSentence with 62 words
610,1.0,MolSentence with 60 words
611,1.0,MolSentence with 58 words
612,1.0,MolSentence with 98 words
613,1.0,MolSentence with 52 words
614,1.0,MolSentence with 54 words
615,1.0,MolSentence with 64 words
616,1.0,MolSentence with 44 words
617,1.0,MolSentence with 46 words
618,1.0,MolSentence with 54 words
619,1.0,MolSentence with 42 words
620,1.0,MolSentence with 40 words
621,1.0,MolSentence with 58 words
622,1.0,MolSentence with 42 words
623,1.0,MolSentence with 42 words
624,1.0,MolSentence with 38 words
625,1.0,MolSentence with 40 words
626,1.0,MolSentence with 48 words
627,1.0,MolSentence with 36 words
628,1.0,MolSentence with 38 words
629,1.0,MolSentence with 38 words
630,1.0,MolSentence with 38 words
631,0.0,MolSentence with 40 words
632,1.0,MolSentence with 56 words
633,1.0,MolSentence with 60 words
634,1.0,MolSentence with 53 words
635,1.0,MolSentence with 50 words
636,1.0,MolSentence with 56 words
637,0.0,MolSentence with 36 words
638,1.0,MolSentence with 32 words
639,1.0,MolSentence with 32 words
640,1.0,MolSentence with 34 words
641,1.0,MolSentence with 46 words
642,1.0,MolSentence with 50 words
643,1.0,MolSentence with 36 words
644,1.0,MolSentence with 44 words
645,1.0,MolSentence with 42 words
646,1.0,MolSentence with 42 words
647,1.0,MolSentence with 44 words
648,1.0,MolSentence with 42 words
649,1.0,MolSentence with 40 words
650,1.0,MolSentence with 44 words
651,1.0,MolSentence with 61 words
652,0.0,MolSentence with 54 words
653,0.0,MolSentence with 52 words
654,0.0,MolSentence with 52 words
655,0.0,MolSentence with 60 words
656,0.0,MolSentence with 57 words
657,0.0,MolSentence with 50 words
658,0.0,MolSentence with 54 words
659,0.0,MolSentence with 52 words
660,1.0,MolSentence with 50 words
661,0.0,MolSentence with 54 words
662,1.0,MolSentence with 50 words
663,0.0,MolSentence with 56 words
664,0.0,MolSentence with 52 words
665,1.0,MolSentence with 46 words
666,1.0,MolSentence with 48 words
667,1.0,MolSentence with 48 words
668,1.0,MolSentence with 62 words
669,1.0,MolSentence with 46 words
670,1.0,MolSentence with 46 words
671,1.0,MolSentence with 36 words
672,1.0,MolSentence with 30 words
673,1.0,MolSentence with 32 words
674,1.0,MolSentence with 38 words
675,1.0,MolSentence with 30 words
676,1.0,MolSentence with 28 words
677,1.0,MolSentence with 44 words
678,1.0,MolSentence with 66 words
679,1.0,MolSentence with 52 words
680,1.0,MolSentence with 50 words
681,1.0,MolSentence with 50 words
682,1.0,MolSentence with 40 words
683,1.0,MolSentence with 20 words
684,1.0,MolSentence with 18 words
685,1.0,MolSentence with 40 words
686,1.0,MolSentence with 40 words
687,1.0,MolSentence with 16 words
688,1.0,MolSentence with 16 words
689,1.0,MolSentence with 58 words
690,1.0,MolSentence with 58 words
691,1.0,MolSentence with 58 words
692,1.0,MolSentence with 70 words
693,0.0,MolSentence with 66 words
694,0.0,MolSentence with 70 words
695,1.0,MolSentence with 52 words
696,1.0,MolSentence with 46 words
697,1.0,MolSentence with 48 words
698,1.0,MolSentence with 46 words
699,1.0,MolSentence with 46 words
700,0.0,MolSentence with 56 words
701,0.0,MolSentence with 60 words
702,0.0,MolSentence with 64 words
703,0.0,MolSentence with 48 words
704,0.0,MolSentence with 56 words
705,1.0,MolSentence with 44 words
706,1.0,MolSentence with 42 words
707,1.0,MolSentence with 44 words
708,1.0,MolSentence with 44 words
709,1.0,MolSentence with 40 words
710,0.0,MolSentence with 52 words
711,1.0,MolSentence with 56 words
712,1.0,MolSentence with 66 words
713,1.0,MolSentence with 60 words
714,1.0,MolSentence with 54 words
715,0.0,MolSentence with 34 words
716,0.0,MolSentence with 40 words
717,0.0,MolSentence with 40 words
718,0.0,MolSentence with 50 words
719,0.0,MolSentence with 40 words
720,1.0,MolSentence with 60 words
721,1.0,MolSentence with 54 words
722,1.0,MolSentence with 60 words
723,1.0,MolSentence with 54 words
724,1.0,MolSentence with 60 words
725,1.0,MolSentence with 34 words
726,1.0,MolSentence with 82 words
727,1.0,MolSentence with 58 words
728,1.0,MolSentence with 46 words
729,1.0,MolSentence with 36 words
730,1.0,MolSentence with 42 words
731,1.0,MolSentence with 42 words
732,1.0,MolSentence with 40 words
733,1.0,MolSentence with 44 words
734,1.0,MolSentence with 44 words
735,1.0,MolSentence with 40 words
736,1.0,MolSentence with 38 words
737,1.0,MolSentence with 38 words
738,1.0,MolSentence with 40 words
739,1.0,MolSentence with 38 words
740,0.0,MolSentence with 38 words
741,1.0,MolSentence with 30 words
742,1.0,MolSentence with 32 words
743,0.0,MolSentence with 44 words
744,0.0,MolSentence with 28 words
745,1.0,MolSentence with 36 words
746,1.0,MolSentence with 28 words
747,1.0,MolSentence with 38 words
748,1.0,MolSentence with 34 words
749,1.0,MolSentence with 38 words
750,1.0,MolSentence with 42 words
751,0.0,MolSentence with 42 words
752,0.0,MolSentence with 40 words
753,1.0,MolSentence with 44 words
754,1.0,MolSentence with 42 words
755,1.0,MolSentence with 44 words
756,1.0,MolSentence with 40 words
757,1.0,MolSentence with 42 words
758,1.0,MolSentence with 38 words
759,1.0,MolSentence with 24 words
760,1.0,MolSentence with 22 words
761,1.0,MolSentence with 20 words
762,1.0,MolSentence with 38 words
763,1.0,MolSentence with 28 words
764,1.0,MolSentence with 32 words
765,1.0,MolSentence with 28 words
766,1.0,MolSentence with 30 words
767,1.0,MolSentence with 51 words
768,1.0,MolSentence with 36 words
769,1.0,MolSentence with 44 words
770,1.0,MolSentence with 44 words
771,1.0,MolSentence with 22 words
772,1.0,MolSentence with 18 words
773,1.0,MolSentence with 22 words
774,1.0,MolSentence with 20 words
775,1.0,MolSentence with 56 words
776,1.0,MolSentence with 62 words
777,1.0,MolSentence with 66 words
778,1.0,MolSentence with 62 words
779,0.0,MolSentence with 54 words
780,0.0,MolSentence with 62 words
781,0.0,MolSentence with 54 words
782,0.0,MolSentence with 56 words
783,0.0,MolSentence with 59 words
784,0.0,MolSentence with 58 words
785,0.0,MolSentence with 60 words
786,0.0,MolSentence with 66 words
787,1.0,MolSentence with 38 words
788,1.0,MolSentence with 48 words
789,1.0,MolSentence with 46 words
790,1.0,MolSentence with 44 words
791,0.0,MolSentence with 32 words
792,1.0,MolSentence with 36 words
793,1.0,MolSentence with 34 words
794,1.0,MolSentence with 34 words
795,0.0,MolSentence with 52 words
796,0.0,MolSentence with 50 words
797,0.0,MolSentence with 46 words
798,0.0,MolSentence with 48 words
799,0.0,MolSentence with 54 words
800,1.0,MolSentence with 52 words
801,1.0,MolSentence with 74 words
802,1.0,MolSentence with 42 words
803,1.0,MolSentence with 44 words
804,1.0,MolSentence with 46 words
805,1.0,MolSentence with 42 words
806,1.0,MolSentence with 50 words
807,1.0,MolSentence with 50 words
808,1.0,MolSentence with 54 words
809,1.0,MolSentence with 52 words
810,1.0,MolSentence with 50 words
811,0.0,MolSentence with 102 words
812,0.0,MolSentence with 100 words
813,0.0,MolSentence with 104 words
814,0.0,MolSentence with 104 words
815,1.0,MolSentence with 46 words
816,1.0,MolSentence with 66 words
817,1.0,MolSentence with 48 words
818,1.0,MolSentence with 58 words
819,0.0,MolSentence with 48 words
820,0.0,MolSentence with 52 words
821,0.0,MolSentence with 50 words
