,classification,mol_sentence
92,1,MolSentence with 18 words
93,1,MolSentence with 54 words
94,1,MolSentence with 12 words
95,1,MolSentence with 50 words
96,1,MolSentence with 56 words
97,1,MolSentence with 40 words
98,1,MolSentence with 62 words
99,1,MolSentence with 22 words
100,0,MolSentence with 26 words
101,0,MolSentence with 20 words
102,0,MolSentence with 50 words
103,0,MolSentence with 60 words
104,0,MolSentence with 62 words
105,0,MolSentence with 53 words
106,0,MolSentence with 48 words
107,0,MolSentence with 44 words
108,1,MolSentence with 86 words
109,1,MolSentence with 40 words
110,1,MolSentence with 50 words
111,1,MolSentence with 46 words
112,1,MolSentence with 44 words
113,1,MolSentence with 44 words
114,1,MolSentence with 26 words
115,1,MolSentence with 42 words
116,1,MolSentence with 22 words
117,0,MolSentence with 84 words
118,1,MolSentence with 40 words
119,1,MolSentence with 44 words
120,1,MolSentence with 17 words
121,1,MolSentence with 24 words
122,0,MolSentence with 59 words
123,0,MolSentence with 34 words
124,0,MolSentence with 80 words
125,0,MolSentence with 68 words
126,0,MolSentence with 42 words
127,0,MolSentence with 68 words
128,0,MolSentence with 56 words
129,0,MolSentence with 52 words
130,0,MolSentence with 32 words
131,0,MolSentence with 42 words
132,0,MolSentence with 59 words
133,0,MolSentence with 56 words
134,0,MolSentence with 38 words
135,1,MolSentence with 44 words
136,1,MolSentence with 44 words
137,1,MolSentence with 54 words
138,1,MolSentence with 36 words
139,1,MolSentence with 36 words
140,1,MolSentence with 30 words
141,1,MolSentence with 34 words
142,1,MolSentence with 26 words
143,1,MolSentence with 40 words
144,0,MolSentence with 24 words
145,0,MolSentence with 48 words
146,0,MolSentence with 56 words
147,1,MolSentence with 38 words
148,0,MolSentence with 48 words
149,0,MolSentence with 40 words
150,0,MolSentence with 34 words
151,0,MolSentence with 34 words
152,0,MolSentence with 66 words
153,0,MolSentence with 44 words
154,0,MolSentence with 32 words
155,0,MolSentence with 28 words
156,0,MolSentence with 50 words
157,0,MolSentence with 50 words
158,0,MolSentence with 52 words
159,1,MolSentence with 62 words
160,1,MolSentence with 68 words
161,1,MolSentence with 56 words
162,1,MolSentence with 54 words
163,1,MolSentence with 46 words
164,1,MolSentence with 46 words
165,1,MolSentence with 32 words
166,1,MolSentence with 34 words
167,1,MolSentence with 42 words
168,1,MolSentence with 40 words
169,1,MolSentence with 36 words
170,1,MolSentence with 152 words
171,0,MolSentence with 60 words
172,1,MolSentence with 46 words
173,1,MolSentence with 42 words
174,0,MolSentence with 54 words
175,0,MolSentence with 16 words
176,1,MolSentence with 60 words
177,1,MolSentence with 8 words
178,0,MolSentence with 22 words
179,0,MolSentence with 34 words
180,0,MolSentence with 58 words
181,0,MolSentence with 50 words
182,0,MolSentence with 44 words
183,0,MolSentence with 40 words
184,0,MolSentence with 108 words
185,0,MolSentence with 110 words
186,0,MolSentence with 60 words
187,1,MolSentence with 40 words
188,1,MolSentence with 48 words
189,1,MolSentence with 26 words
190,1,MolSentence with 40 words
191,1,MolSentence with 14 words
192,1,MolSentence with 50 words
193,1,MolSentence with 92 words
194,1,MolSentence with 88 words
195,1,MolSentence with 34 words
196,1,MolSentence with 60 words
197,0,MolSentence with 52 words
198,0,MolSentence with 26 words
199,0,MolSentence with 104 words
200,0,MolSentence with 200 words
201,0,MolSentence with 23 words
202,0,MolSentence with 48 words
203,0,MolSentence with 86 words
204,1,MolSentence with 68 words
205,0,MolSentence with 22 words
206,0,MolSentence with 78 words
207,0,MolSentence with 65 words
208,0,MolSentence with 43 words
209,0,MolSentence with 48 words
210,0,MolSentence with 80 words
211,0,MolSentence with 24 words
212,0,MolSentence with 26 words
213,0,MolSentence with 102 words
214,0,MolSentence with 40 words
215,1,MolSentence with 30 words
216,1,MolSentence with 42 words
217,1,MolSentence with 46 words
218,1,MolSentence with 46 words
219,1,MolSentence with 46 words
220,1,MolSentence with 54 words
221,1,MolSentence with 50 words
222,1,MolSentence with 60 words
223,1,MolSentence with 22 words
224,1,MolSentence with 52 words
225,1,MolSentence with 28 words
226,0,MolSentence with 48 words
227,1,MolSentence with 44 words
228,1,MolSentence with 65 words
229,1,MolSentence with 38 words
230,0,MolSentence with 53 words
231,0,MolSentence with 40 words
232,0,MolSentence with 38 words
233,0,MolSentence with 44 words
234,0,MolSentence with 44 words
235,0,MolSentence with 34 words
236,0,MolSentence with 60 words
237,0,MolSentence with 18 words
238,0,MolSentence with 42 words
239,0,MolSentence with 36 words
240,0,MolSentence with 47 words
241,1,MolSentence with 58 words
242,1,MolSentence with 48 words
243,1,MolSentence with 56 words
244,1,MolSentence with 44 words
245,1,MolSentence with 40 words
246,1,MolSentence with 44 words
247,1,MolSentence with 38 words
248,1,MolSentence with 34 words
249,1,MolSentence with 20 words
250,1,MolSentence with 38 words
251,0,MolSentence with 66 words
252,0,MolSentence with 58 words
253,0,MolSentence with 68 words
254,1,MolSentence with 14 words
255,1,MolSentence with 10 words
256,0,MolSentence with 49 words
257,0,MolSentence with 28 words
258,0,MolSentence with 28 words
259,0,MolSentence with 40 words
260,0,MolSentence with 24 words
261,0,MolSentence with 34 words
262,0,MolSentence with 52 words
263,0,MolSentence with 40 words
264,0,MolSentence with 30 words
265,0,MolSentence with 50 words
266,0,MolSentence with 54 words
267,0,MolSentence with 24 words
268,1,MolSentence with 40 words
269,1,MolSentence with 62 words
270,1,MolSentence with 44 words
271,1,MolSentence with 24 words
272,0,MolSentence with 98 words
273,0,MolSentence with 66 words
274,1,MolSentence with 38 words
275,0,MolSentence with 38 words
276,0,MolSentence with 24 words
277,0,MolSentence with 20 words
278,0,MolSentence with 30 words
279,0,MolSentence with 66 words
280,0,MolSentence with 72 words
281,0,MolSentence with 48 words
282,0,MolSentence with 28 words
283,0,MolSentence with 24 words
284,0,MolSentence with 66 words
285,0,MolSentence with 38 words
286,0,MolSentence with 36 words
287,0,MolSentence with 34 words
288,1,MolSentence with 28 words
289,0,MolSentence with 34 words
290,1,MolSentence with 38 words
291,1,MolSentence with 24 words
292,0,MolSentence with 64 words
293,1,MolSentence with 66 words
294,1,MolSentence with 36 words
295,0,MolSentence with 55 words
296,1,MolSentence with 18 words
297,1,MolSentence with 27 words
298,1,MolSentence with 34 words
299,0,MolSentence with 48 words
300,0,MolSentence with 38 words
301,0,MolSentence with 51 words
302,0,MolSentence with 42 words
303,0,MolSentence with 46 words
304,0,MolSentence with 46 words
305,0,MolSentence with 50 words
306,0,MolSentence with 66 words
307,0,MolSentence with 40 words
308,0,MolSentence with 30 words
309,0,MolSentence with 62 words
310,1,MolSentence with 50 words
311,0,MolSentence with 58 words
312,1,MolSentence with 40 words
313,1,MolSentence with 46 words
314,0,MolSentence with 100 words
315,0,MolSentence with 98 words
316,1,MolSentence with 24 words
317,0,MolSentence with 41 words
318,1,MolSentence with 36 words
319,1,MolSentence with 32 words
320,0,MolSentence with 80 words
321,1,MolSentence with 34 words
322,1,MolSentence with 36 words
323,0,MolSentence with 54 words
324,0,MolSentence with 50 words
325,0,MolSentence with 40 words
326,0,MolSentence with 60 words
327,0,MolSentence with 16 words
328,0,MolSentence with 44 words
329,0,MolSentence with 22 words
330,0,MolSentence with 44 words
331,0,MolSentence with 44 words
332,0,MolSentence with 44 words
333,1,MolSentence with 40 words
334,1,MolSentence with 40 words
335,1,MolSentence with 34 words
336,1,MolSentence with 38 words
337,1,MolSentence with 42 words
338,1,MolSentence with 40 words
339,1,MolSentence with 44 words
340,1,MolSentence with 40 words
341,0,MolSentence with 42 words
342,1,MolSentence with 34 words
343,1,MolSentence with 56 words
344,1,MolSentence with 52 words
345,1,MolSentence with 62 words
346,1,MolSentence with 30 words
347,1,MolSentence with 28 words
348,0,MolSentence with 130 words
349,1,MolSentence with 69 words
350,0,MolSentence with 68 words
351,0,MolSentence with 50 words
352,0,MolSentence with 46 words
353,0,MolSentence with 26 words
354,0,MolSentence with 32 words
355,0,MolSentence with 36 words
356,0,MolSentence with 48 words
357,0,MolSentence with 42 words
358,0,MolSentence with 46 words
359,0,MolSentence with 34 words
360,1,MolSentence with 60 words
361,1,MolSentence with 50 words
362,0,MolSentence with 56 words
363,1,MolSentence with 46 words
364,1,MolSentence with 74 words
365,1,MolSentence with 18 words
366,0,MolSentence with 30 words
367,1,MolSentence with 30 words
368,0,MolSentence with 15 words
369,0,MolSentence with 36 words
370,1,MolSentence with 92 words
371,1,MolSentence with 22 words
372,0,MolSentence with 202 words
373,0,MolSentence with 50 words
374,0,MolSentence with 52 words
375,0,MolSentence with 52 words
376,0,MolSentence with 38 words
377,0,MolSentence with 46 words
378,0,MolSentence with 38 words
379,0,MolSentence with 76 words
380,0,MolSentence with 68 words
381,0,MolSentence with 34 words
382,1,MolSentence with 40 words
383,1,MolSentence with 86 words
384,1,MolSentence with 48 words
385,1,MolSentence with 10 words
386,1,MolSentence with 12 words
387,1,MolSentence with 10 words
388,1,MolSentence with 12 words
389,1,MolSentence with 38 words
390,0,MolSentence with 56 words
392,0,MolSentence with 52 words
393,1,MolSentence with 40 words
394,0,MolSentence with 118 words
395,0,MolSentence with 20 words
396,0,MolSentence with 44 words
397,0,MolSentence with 58 words
398,0,MolSentence with 48 words
399,0,MolSentence with 56 words
400,0,MolSentence with 72 words
401,0,MolSentence with 44 words
402,0,MolSentence with 42 words
403,0,MolSentence with 64 words
404,1,MolSentence with 14 words
405,1,MolSentence with 12 words
406,1,MolSentence with 48 words
407,1,MolSentence with 34 words
408,0,MolSentence with 38 words
409,1,MolSentence with 12 words
410,1,MolSentence with 52 words
411,1,MolSentence with 52 words
412,1,MolSentence with 52 words
413,1,MolSentence with 52 words
414,1,MolSentence with 56 words
415,0,MolSentence with 52 words
416,1,MolSentence with 46 words
417,1,MolSentence with 54 words
418,1,MolSentence with 50 words
419,1,MolSentence with 52 words
420,0,MolSentence with 26 words
421,0,MolSentence with 22 words
422,0,MolSentence with 42 words
423,0,MolSentence with 36 words
424,0,MolSentence with 56 words
425,0,MolSentence with 38 words
426,0,MolSentence with 40 words
427,0,MolSentence with 156 words
428,0,MolSentence with 66 words
429,0,MolSentence with 46 words
430,1,MolSentence with 10 words
431,1,MolSentence with 6 words
432,1,MolSentence with 38 words
433,1,MolSentence with 6 words
434,1,MolSentence with 10 words
435,1,MolSentence with 10 words
436,1,MolSentence with 20 words
437,0,MolSentence with 52 words
438,1,MolSentence with 50 words
439,0,MolSentence with 74 words
440,0,MolSentence with 54 words
441,0,MolSentence with 48 words
442,0,MolSentence with 26 words
443,0,MolSentence with 30 words
444,0,MolSentence with 52 words
445,0,MolSentence with 38 words
446,1,MolSentence with 46 words
447,1,MolSentence with 58 words
448,1,MolSentence with 26 words
449,1,MolSentence with 30 words
450,1,MolSentence with 24 words
451,1,MolSentence with 42 words
452,1,MolSentence with 32 words
453,1,MolSentence with 20 words
454,1,MolSentence with 6 words
455,1,MolSentence with 16 words
456,1,MolSentence with 44 words
457,1,MolSentence with 46 words
458,1,MolSentence with 16 words
459,1,MolSentence with 14 words
460,1,MolSentence with 14 words
461,1,MolSentence with 12 words
462,1,MolSentence with 20 words
463,1,MolSentence with 22 words
464,1,MolSentence with 26 words
465,1,MolSentence with 28 words
466,1,MolSentence with 28 words
467,0,MolSentence with 26 words
468,1,MolSentence with 24 words
469,0,MolSentence with 58 words
470,1,MolSentence with 28 words
471,1,MolSentence with 40 words
472,1,MolSentence with 22 words
473,1,MolSentence with 48 words
474,1,MolSentence with 50 words
475,1,MolSentence with 56 words
476,1,MolSentence with 24 words
477,1,MolSentence with 58 words
478,1,MolSentence with 56 words
479,1,MolSentence with 46 words
480,1,MolSentence with 34 words
481,1,MolSentence with 90 words
482,1,MolSentence with 20 words
483,1,MolSentence with 38 words
484,1,MolSentence with 16 words
485,1,MolSentence with 12 words
486,1,MolSentence with 40 words
487,1,MolSentence with 38 words
488,1,MolSentence with 40 words
489,0,MolSentence with 52 words
490,0,MolSentence with 46 words
491,0,MolSentence with 52 words
492,1,MolSentence with 52 words
493,1,MolSentence with 52 words
494,1,MolSentence with 54 words
495,1,MolSentence with 38 words
496,1,MolSentence with 62 words
497,1,MolSentence with 30 words
498,1,MolSentence with 32 words
499,1,MolSentence with 28 words
500,1,MolSentence with 30 words
501,1,MolSentence with 28 words
502,1,MolSentence with 46 words
503,1,MolSentence with 26 words
504,1,MolSentence with 36 words
505,1,MolSentence with 48 words
506,1,MolSentence with 52 words
507,1,MolSentence with 26 words
508,1,MolSentence with 10 words
509,1,MolSentence with 8 words
510,1,MolSentence with 8 words
511,1,MolSentence with 56 words
512,1,MolSentence with 58 words
513,1,MolSentence with 54 words
514,0,MolSentence with 54 words
515,0,MolSentence with 58 words
516,0,MolSentence with 54 words
517,0,MolSentence with 54 words
518,0,MolSentence with 54 words
519,0,MolSentence with 56 words
520,0,MolSentence with 54 words
521,1,MolSentence with 60 words
522,1,MolSentence with 42 words
523,1,MolSentence with 32 words
524,1,MolSentence with 14 words
525,1,MolSentence with 42 words
526,1,MolSentence with 42 words
527,1,MolSentence with 42 words
528,1,MolSentence with 22 words
529,1,MolSentence with 14 words
530,1,MolSentence with 42 words
531,1,MolSentence with 44 words
532,1,MolSentence with 38 words
533,1,MolSentence with 40 words
534,1,MolSentence with 28 words
535,1,MolSentence with 54 words
536,1,MolSentence with 14 words
537,1,MolSentence with 26 words
538,0,MolSentence with 32 words
539,1,MolSentence with 14 words
540,1,MolSentence with 46 words
541,0,MolSentence with 56 words
542,0,MolSentence with 50 words
543,0,MolSentence with 56 words
544,0,MolSentence with 58 words
545,1,MolSentence with 46 words
546,1,MolSentence with 52 words
547,0,MolSentence with 46 words
548,1,MolSentence with 42 words
549,0,MolSentence with 50 words
550,0,MolSentence with 68 words
551,1,MolSentence with 44 words
552,1,MolSentence with 44 words
553,1,MolSentence with 54 words
554,1,MolSentence with 70 words
555,1,MolSentence with 44 words
556,1,MolSentence with 44 words
557,1,MolSentence with 40 words
558,1,MolSentence with 60 words
559,1,MolSentence with 12 words
560,1,MolSentence with 38 words
561,1,MolSentence with 10 words
562,1,MolSentence with 8 words
563,1,MolSentence with 20 words
564,1,MolSentence with 22 words
565,1,MolSentence with 16 words
566,0,MolSentence with 28 words
567,0,MolSentence with 24 words
568,1,MolSentence with 16 words
569,0,MolSentence with 54 words
570,0,MolSentence with 46 words
571,1,MolSentence with 46 words
572,1,MolSentence with 50 words
573,0,MolSentence with 46 words
574,0,MolSentence with 48 words
575,0,MolSentence with 46 words
576,1,MolSentence with 62 words
577,1,MolSentence with 84 words
578,1,MolSentence with 40 words
579,1,MolSentence with 40 words
580,1,MolSentence with 44 words
581,1,MolSentence with 42 words
582,1,MolSentence with 38 words
583,1,MolSentence with 38 words
584,1,MolSentence with 60 words
585,1,MolSentence with 28 words
586,1,MolSentence with 16 words
587,1,MolSentence with 16 words
588,1,MolSentence with 8 words
589,1,MolSentence with 38 words
590,1,MolSentence with 58 words
591,1,MolSentence with 46 words
592,0,MolSentence with 64 words
593,0,MolSentence with 70 words
594,1,MolSentence with 52 words
595,1,MolSentence with 56 words
596,0,MolSentence with 50 words
597,0,MolSentence with 34 words
598,1,MolSentence with 48 words
599,1,MolSentence with 52 words
600,0,MolSentence with 58 words
601,0,MolSentence with 54 words
602,1,MolSentence with 52 words
603,0,MolSentence with 54 words
604,1,MolSentence with 44 words
605,1,MolSentence with 56 words
606,1,MolSentence with 56 words
607,1,MolSentence with 22 words
608,1,MolSentence with 20 words
609,1,MolSentence with 42 words
610,1,MolSentence with 40 words
611,1,MolSentence with 42 words
612,1,MolSentence with 18 words
613,1,MolSentence with 24 words
615,1,MolSentence with 20 words
616,1,MolSentence with 22 words
617,1,MolSentence with 16 words
618,1,MolSentence with 40 words
619,1,MolSentence with 42 words
620,1,MolSentence with 54 words
621,1,MolSentence with 40 words
622,0,MolSentence with 54 words
623,1,MolSentence with 58 words
624,1,MolSentence with 70 words
625,0,MolSentence with 66 words
626,0,MolSentence with 70 words
627,0,MolSentence with 88 words
628,0,MolSentence with 82 words
629,0,MolSentence with 78 words
630,0,MolSentence with 68 words
631,0,MolSentence with 56 words
632,1,MolSentence with 20 words
633,1,MolSentence with 46 words
634,1,MolSentence with 60 words
635,1,MolSentence with 60 words
636,1,MolSentence with 54 words
637,1,MolSentence with 44 words
638,1,MolSentence with 32 words
639,1,MolSentence with 52 words
640,1,MolSentence with 30 words
641,1,MolSentence with 28 words
643,1,MolSentence with 38 words
644,1,MolSentence with 52 words
650,1,MolSentence with 47 words
651,1,MolSentence with 50 words
652,1,MolSentence with 30 words
653,0,MolSentence with 44 words
654,0,MolSentence with 70 words
655,1,MolSentence with 48 words
656,1,MolSentence with 54 words
657,1,MolSentence with 26 words
658,1,MolSentence with 66 words
659,1,MolSentence with 44 words
660,1,MolSentence with 30 words
661,1,MolSentence with 52 words
662,1,MolSentence with 42 words
663,1,MolSentence with 32 words
664,1,MolSentence with 28 words
665,1,MolSentence with 42 words
666,1,MolSentence with 52 words
667,1,MolSentence with 36 words
668,1,MolSentence with 48 words
669,1,MolSentence with 46 words
670,1,MolSentence with 54 words
671,0,MolSentence with 64 words
672,0,MolSentence with 56 words
673,0,MolSentence with 30 words
674,1,MolSentence with 26 words
675,1,MolSentence with 54 words
676,1,MolSentence with 38 words
677,1,MolSentence with 34 words
678,1,MolSentence with 42 words
679,1,MolSentence with 52 words
680,1,MolSentence with 34 words
681,1,MolSentence with 38 words
682,1,MolSentence with 38 words
683,1,MolSentence with 30 words
684,1,MolSentence with 50 words
686,1,MolSentence with 28 words
687,1,MolSentence with 42 words
688,1,MolSentence with 48 words
689,1,MolSentence with 32 words
690,1,MolSentence with 36 words
691,0,MolSentence with 24 words
692,1,MolSentence with 30 words
693,1,MolSentence with 52 words
694,1,MolSentence with 22 words
695,1,MolSentence with 38 words
696,1,MolSentence with 34 words
697,1,MolSentence with 44 words
698,1,MolSentence with 46 words
699,1,MolSentence with 14 words
700,1,MolSentence with 34 words
701,1,MolSentence with 26 words
702,1,MolSentence with 80 words
703,0,MolSentence with 22 words
704,1,MolSentence with 34 words
705,1,MolSentence with 26 words
706,0,MolSentence with 76 words
707,0,MolSentence with 64 words
708,1,MolSentence with 40 words
709,1,MolSentence with 38 words
710,0,MolSentence with 38 words
711,1,MolSentence with 62 words
712,1,MolSentence with 52 words
713,1,MolSentence with 42 words
714,1,MolSentence with 26 words
715,1,MolSentence with 48 words
716,1,MolSentence with 24 words
717,1,MolSentence with 42 words
718,1,MolSentence with 38 words
719,1,MolSentence with 40 words
720,1,MolSentence with 40 words
721,1,MolSentence with 40 words
722,0,MolSentence with 86 words
723,1,MolSentence with 32 words
724,0,MolSentence with 42 words
725,0,MolSentence with 54 words
726,0,MolSentence with 28 words
727,0,MolSentence with 116 words
728,0,MolSentence with 48 words
729,0,MolSentence with 26 words
730,0,MolSentence with 60 words
731,0,MolSentence with 43 words
732,0,MolSentence with 54 words
733,0,MolSentence with 60 words
734,0,MolSentence with 62 words
735,0,MolSentence with 72 words
736,0,MolSentence with 74 words
737,0,MolSentence with 90 words
738,0,MolSentence with 74 words
739,0,MolSentence with 76 words
740,0,MolSentence with 68 words
741,0,MolSentence with 56 words
742,0,MolSentence with 56 words
743,0,MolSentence with 60 words
744,0,MolSentence with 66 words
745,0,MolSentence with 36 words
746,0,MolSentence with 54 words
747,0,MolSentence with 100 words
748,0,MolSentence with 78 words
749,0,MolSentence with 38 words
750,0,MolSentence with 64 words
751,0,MolSentence with 70 words
752,0,MolSentence with 74 words
753,0,MolSentence with 60 words
754,0,MolSentence with 48 words
755,0,MolSentence with 50 words
756,0,MolSentence with 48 words
757,0,MolSentence with 54 words
758,0,MolSentence with 64 words
759,0,MolSentence with 62 words
760,0,MolSentence with 59 words
761,0,MolSentence with 66 words
762,0,MolSentence with 62 words
763,0,MolSentence with 88 words
764,0,MolSentence with 60 words
765,0,MolSentence with 54 words
766,0,MolSentence with 52 words
767,0,MolSentence with 66 words
768,0,MolSentence with 52 words
769,0,MolSentence with 52 words
770,0,MolSentence with 56 words
771,0,MolSentence with 58 words
772,0,MolSentence with 60 words
773,0,MolSentence with 66 words
774,0,MolSentence with 60 words
775,0,MolSentence with 66 words
776,0,MolSentence with 74 words
777,0,MolSentence with 70 words
778,0,MolSentence with 70 words
779,0,MolSentence with 72 words
780,0,MolSentence with 68 words
781,0,MolSentence with 66 words
782,0,MolSentence with 84 words
783,0,MolSentence with 57 words
784,0,MolSentence with 55 words
785,0,MolSentence with 58 words
786,0,MolSentence with 50 words
787,0,MolSentence with 58 words
788,0,MolSentence with 64 words
789,0,MolSentence with 56 words
790,0,MolSentence with 56 words
791,0,MolSentence with 68 words
792,0,MolSentence with 78 words
793,0,MolSentence with 62 words
794,0,MolSentence with 50 words
795,0,MolSentence with 58 words
796,0,MolSentence with 70 words
797,0,MolSentence with 78 words
798,0,MolSentence with 64 words
799,0,MolSentence with 47 words
800,0,MolSentence with 58 words
801,0,MolSentence with 56 words
802,0,MolSentence with 52 words
803,0,MolSentence with 60 words
804,0,MolSentence with 104 words
805,0,MolSentence with 54 words
806,0,MolSentence with 62 words
807,0,MolSentence with 54 words
808,0,MolSentence with 70 words
809,0,MolSentence with 46 words
810,0,MolSentence with 170 words
811,0,MolSentence with 180 words
812,0,MolSentence with 62 words
813,0,MolSentence with 96 words
814,0,MolSentence with 62 words
815,0,MolSentence with 60 words
816,0,MolSentence with 80 words
817,0,MolSentence with 86 words
818,0,MolSentence with 50 words
819,0,MolSentence with 112 words
820,0,MolSentence with 72 words
821,0,MolSentence with 116 words
822,0,MolSentence with 116 words
823,0,MolSentence with 162 words
824,0,MolSentence with 71 words
825,0,MolSentence with 48 words
826,0,MolSentence with 246 words
827,0,MolSentence with 76 words
828,0,MolSentence with 144 words
829,0,MolSentence with 26 words
830,0,MolSentence with 50 words
831,0,MolSentence with 60 words
832,0,MolSentence with 32 words
833,0,MolSentence with 74 words
834,0,MolSentence with 74 words
835,0,MolSentence with 67 words
836,0,MolSentence with 104 words
837,0,MolSentence with 38 words
838,0,MolSentence with 62 words
839,0,MolSentence with 58 words
840,0,MolSentence with 74 words
841,0,MolSentence with 66 words
842,0,MolSentence with 64 words
843,0,MolSentence with 164 words
844,0,MolSentence with 52 words
845,0,MolSentence with 90 words
846,0,MolSentence with 54 words
847,0,MolSentence with 22 words
848,0,MolSentence with 26 words
849,0,MolSentence with 26 words
850,0,MolSentence with 72 words
851,0,MolSentence with 41 words
852,0,MolSentence with 78 words
853,0,MolSentence with 52 words
854,0,MolSentence with 116 words
855,0,MolSentence with 64 words
856,0,MolSentence with 54 words
857,0,MolSentence with 94 words
858,0,MolSentence with 106 words
859,0,MolSentence with 54 words
860,0,MolSentence with 49 words
861,0,MolSentence with 60 words
862,0,MolSentence with 68 words
863,0,MolSentence with 44 words
864,0,MolSentence with 44 words
865,0,MolSentence with 74 words
866,0,MolSentence with 55 words
867,0,MolSentence with 50 words
868,0,MolSentence with 64 words
869,0,MolSentence with 28 words
870,0,MolSentence with 52 words
871,0,MolSentence with 72 words
872,0,MolSentence with 72 words
873,0,MolSentence with 114 words
874,0,MolSentence with 126 words
875,0,MolSentence with 56 words
876,0,MolSentence with 48 words
877,0,MolSentence with 72 words
878,0,MolSentence with 44 words
879,0,MolSentence with 66 words
880,0,MolSentence with 70 words
881,0,MolSentence with 50 words
882,0,MolSentence with 52 words
883,0,MolSentence with 66 words
884,0,MolSentence with 88 words
885,0,MolSentence with 96 words
886,0,MolSentence with 56 words
887,0,MolSentence with 48 words
888,0,MolSentence with 124 words
889,0,MolSentence with 84 words
890,0,MolSentence with 56 words
891,0,MolSentence with 47 words
892,0,MolSentence with 114 words
893,0,MolSentence with 50 words
894,0,MolSentence with 84 words
895,0,MolSentence with 90 words
896,0,MolSentence with 72 words
897,0,MolSentence with 101 words
898,0,MolSentence with 92 words
899,0,MolSentence with 64 words
900,0,MolSentence with 36 words
901,0,MolSentence with 60 words
902,0,MolSentence with 124 words
903,0,MolSentence with 50 words
904,0,MolSentence with 52 words
905,0,MolSentence with 76 words
906,0,MolSentence with 58 words
907,0,MolSentence with 122 words
908,0,MolSentence with 120 words
909,0,MolSentence with 114 words
910,0,MolSentence with 116 words
911,0,MolSentence with 118 words
912,0,MolSentence with 100 words
913,0,MolSentence with 126 words
914,0,MolSentence with 114 words
915,0,MolSentence with 39 words
916,0,MolSentence with 134 words
917,0,MolSentence with 78 words
918,0,MolSentence with 116 words
919,0,MolSentence with 40 words
920,0,MolSentence with 62 words
921,0,MolSentence with 60 words
922,0,MolSentence with 72 words
923,0,MolSentence with 62 words
924,0,MolSentence with 118 words
925,0,MolSentence with 54 words
926,0,MolSentence with 42 words
927,0,MolSentence with 78 words
928,0,MolSentence with 58 words
929,0,MolSentence with 114 words
930,0,MolSentence with 68 words
931,0,MolSentence with 40 words
932,0,MolSentence with 264 words
933,0,MolSentence with 54 words
934,0,MolSentence with 54 words
935,0,MolSentence with 48 words
936,0,MolSentence with 56 words
937,0,MolSentence with 72 words
938,0,MolSentence with 64 words
939,0,MolSentence with 40 words
940,0,MolSentence with 114 words
941,0,MolSentence with 52 words
