,classification,mol_sentence
284,1,MolSentence with 118 words
285,1,MolSentence with 82 words
286,1,MolSentence with 92 words
287,1,MolSentence with 76 words
288,1,MolSentence with 70 words
289,1,MolSentence with 74 words
290,1,MolSentence with 116 words
291,1,MolSentence with 78 words
292,1,MolSentence with 78 words
293,1,MolSentence with 72 words
294,1,MolSentence with 88 words
295,1,MolSentence with 96 words
296,1,MolSentence with 84 words
297,1,MolSentence with 82 words
298,1,MolSentence with 100 words
299,1,MolSentence with 74 words
300,1,MolSentence with 88 words
301,1,MolSentence with 78 words
302,1,MolSentence with 78 words
303,1,MolSentence with 84 words
304,1,MolSentence with 80 words
305,1,MolSentence with 92 words
306,1,MolSentence with 66 words
307,1,MolSentence with 92 words
308,1,MolSentence with 82 words
309,1,MolSentence with 78 words
310,1,MolSentence with 86 words
311,1,MolSentence with 84 words
312,1,MolSentence with 84 words
313,1,MolSentence with 68 words
314,1,MolSentence with 100 words
315,1,MolSentence with 94 words
316,1,MolSentence with 100 words
317,1,MolSentence with 90 words
318,1,MolSentence with 98 words
319,1,MolSentence with 70 words
320,1,MolSentence with 72 words
321,1,MolSentence with 82 words
322,1,MolSentence with 62 words
323,1,MolSentence with 62 words
324,1,MolSentence with 98 words
325,1,MolSentence with 84 words
326,1,MolSentence with 86 words
327,1,MolSentence with 70 words
328,1,MolSentence with 72 words
329,1,MolSentence with 72 words
330,1,MolSentence with 82 words
331,1,MolSentence with 78 words
332,1,MolSentence with 80 words
333,1,MolSentence with 78 words
334,1,MolSentence with 80 words
335,1,MolSentence with 74 words
336,1,MolSentence with 84 words
337,1,MolSentence with 86 words
338,1,MolSentence with 82 words
339,1,MolSentence with 86 words
340,1,MolSentence with 72 words
341,1,MolSentence with 82 words
342,1,MolSentence with 90 words
343,1,MolSentence with 70 words
344,1,MolSentence with 74 words
345,1,MolSentence with 58 words
346,1,MolSentence with 64 words
347,1,MolSentence with 70 words
348,1,MolSentence with 70 words
349,1,MolSentence with 70 words
350,1,MolSentence with 86 words
351,1,MolSentence with 72 words
352,1,MolSentence with 98 words
353,1,MolSentence with 94 words
354,1,MolSentence with 72 words
355,1,MolSentence with 78 words
356,1,MolSentence with 84 words
357,1,MolSentence with 86 words
358,1,MolSentence with 84 words
359,1,MolSentence with 84 words
360,1,MolSentence with 82 words
361,1,MolSentence with 88 words
362,1,MolSentence with 86 words
363,1,MolSentence with 96 words
364,1,MolSentence with 88 words
365,1,MolSentence with 96 words
366,1,MolSentence with 96 words
367,1,MolSentence with 100 words
368,1,MolSentence with 74 words
369,1,MolSentence with 62 words
370,1,MolSentence with 118 words
371,1,MolSentence with 62 words
372,1,MolSentence with 88 words
373,1,MolSentence with 62 words
374,1,MolSentence with 56 words
375,1,MolSentence with 58 words
376,1,MolSentence with 58 words
377,1,MolSentence with 62 words
378,1,MolSentence with 60 words
379,1,MolSentence with 60 words
380,1,MolSentence with 90 words
381,1,MolSentence with 62 words
382,1,MolSentence with 104 words
383,1,MolSentence with 56 words
384,1,MolSentence with 60 words
385,1,MolSentence with 60 words
386,1,MolSentence with 56 words
387,1,MolSentence with 78 words
388,1,MolSentence with 78 words
389,1,MolSentence with 78 words
390,1,MolSentence with 86 words
391,1,MolSentence with 100 words
392,1,MolSentence with 72 words
393,1,MolSentence with 90 words
394,1,MolSentence with 90 words
395,1,MolSentence with 60 words
396,1,MolSentence with 94 words
397,1,MolSentence with 70 words
398,1,MolSentence with 78 words
399,1,MolSentence with 80 words
400,1,MolSentence with 108 words
401,1,MolSentence with 104 words
402,1,MolSentence with 60 words
403,1,MolSentence with 92 words
404,1,MolSentence with 52 words
405,1,MolSentence with 78 words
406,1,MolSentence with 68 words
407,1,MolSentence with 96 words
408,1,MolSentence with 78 words
409,1,MolSentence with 98 words
410,1,MolSentence with 62 words
411,1,MolSentence with 88 words
412,1,MolSentence with 60 words
413,1,MolSentence with 76 words
414,1,MolSentence with 72 words
415,1,MolSentence with 78 words
416,1,MolSentence with 82 words
417,1,MolSentence with 78 words
418,1,MolSentence with 96 words
419,1,MolSentence with 80 words
420,1,MolSentence with 52 words
421,1,MolSentence with 78 words
422,1,MolSentence with 68 words
423,1,MolSentence with 86 words
424,1,MolSentence with 64 words
425,1,MolSentence with 58 words
426,1,MolSentence with 78 words
427,1,MolSentence with 82 words
428,1,MolSentence with 52 words
429,1,MolSentence with 66 words
430,1,MolSentence with 90 words
431,1,MolSentence with 64 words
432,1,MolSentence with 60 words
433,1,MolSentence with 82 words
434,1,MolSentence with 62 words
435,1,MolSentence with 86 words
436,1,MolSentence with 80 words
437,1,MolSentence with 56 words
438,1,MolSentence with 92 words
439,1,MolSentence with 80 words
440,1,MolSentence with 104 words
441,1,MolSentence with 56 words
442,1,MolSentence with 90 words
443,1,MolSentence with 86 words
444,1,MolSentence with 70 words
445,1,MolSentence with 90 words
446,1,MolSentence with 82 words
447,1,MolSentence with 54 words
448,1,MolSentence with 74 words
449,1,MolSentence with 76 words
450,1,MolSentence with 86 words
451,1,MolSentence with 86 words
452,1,MolSentence with 72 words
453,1,MolSentence with 84 words
454,1,MolSentence with 86 words
455,1,MolSentence with 52 words
456,1,MolSentence with 58 words
457,1,MolSentence with 76 words
458,1,MolSentence with 84 words
459,1,MolSentence with 94 words
460,1,MolSentence with 74 words
461,1,MolSentence with 72 words
462,1,MolSentence with 74 words
463,1,MolSentence with 68 words
464,1,MolSentence with 60 words
465,1,MolSentence with 60 words
466,1,MolSentence with 78 words
467,1,MolSentence with 94 words
468,1,MolSentence with 60 words
469,1,MolSentence with 58 words
470,1,MolSentence with 60 words
471,1,MolSentence with 54 words
472,1,MolSentence with 58 words
473,1,MolSentence with 58 words
474,1,MolSentence with 58 words
475,1,MolSentence with 60 words
476,1,MolSentence with 58 words
477,1,MolSentence with 58 words
478,1,MolSentence with 60 words
479,1,MolSentence with 62 words
480,1,MolSentence with 60 words
481,1,MolSentence with 62 words
482,1,MolSentence with 90 words
483,1,MolSentence with 62 words
484,1,MolSentence with 66 words
485,1,MolSentence with 60 words
486,1,MolSentence with 64 words
487,1,MolSentence with 64 words
488,1,MolSentence with 62 words
489,1,MolSentence with 82 words
490,1,MolSentence with 86 words
491,1,MolSentence with 84 words
492,1,MolSentence with 76 words
493,1,MolSentence with 98 words
494,1,MolSentence with 74 words
495,1,MolSentence with 60 words
496,1,MolSentence with 52 words
497,1,MolSentence with 64 words
498,1,MolSentence with 76 words
499,1,MolSentence with 70 words
500,1,MolSentence with 88 words
501,1,MolSentence with 86 words
502,1,MolSentence with 82 words
503,1,MolSentence with 82 words
504,1,MolSentence with 86 words
505,1,MolSentence with 80 words
506,1,MolSentence with 84 words
507,1,MolSentence with 54 words
508,1,MolSentence with 52 words
509,1,MolSentence with 68 words
510,1,MolSentence with 70 words
511,1,MolSentence with 72 words
512,1,MolSentence with 70 words
513,1,MolSentence with 66 words
514,1,MolSentence with 54 words
515,1,MolSentence with 94 words
516,1,MolSentence with 80 words
517,1,MolSentence with 86 words
518,1,MolSentence with 80 words
519,1,MolSentence with 70 words
520,1,MolSentence with 64 words
521,1,MolSentence with 86 words
522,1,MolSentence with 90 words
523,1,MolSentence with 76 words
524,1,MolSentence with 88 words
525,1,MolSentence with 94 words
526,1,MolSentence with 64 words
527,1,MolSentence with 54 words
528,1,MolSentence with 56 words
529,1,MolSentence with 84 words
530,1,MolSentence with 100 words
531,1,MolSentence with 100 words
532,1,MolSentence with 76 words
533,1,MolSentence with 66 words
534,1,MolSentence with 56 words
535,1,MolSentence with 52 words
536,1,MolSentence with 86 words
537,1,MolSentence with 82 words
538,1,MolSentence with 88 words
539,1,MolSentence with 70 words
540,1,MolSentence with 54 words
541,1,MolSentence with 58 words
542,1,MolSentence with 66 words
543,1,MolSentence with 78 words
544,1,MolSentence with 86 words
545,1,MolSentence with 70 words
546,1,MolSentence with 82 words
547,1,MolSentence with 68 words
548,1,MolSentence with 58 words
549,1,MolSentence with 56 words
550,1,MolSentence with 56 words
551,1,MolSentence with 54 words
552,1,MolSentence with 58 words
553,1,MolSentence with 62 words
554,1,MolSentence with 56 words
555,1,MolSentence with 60 words
556,1,MolSentence with 58 words
557,1,MolSentence with 58 words
558,1,MolSentence with 64 words
559,1,MolSentence with 62 words
560,1,MolSentence with 62 words
561,1,MolSentence with 92 words
562,1,MolSentence with 88 words
563,1,MolSentence with 58 words
564,1,MolSentence with 60 words
565,1,MolSentence with 58 words
566,1,MolSentence with 62 words
567,1,MolSentence with 54 words
568,1,MolSentence with 52 words
569,1,MolSentence with 52 words
570,1,MolSentence with 70 words
571,1,MolSentence with 82 words
572,1,MolSentence with 102 words
573,1,MolSentence with 60 words
574,1,MolSentence with 74 words
575,1,MolSentence with 50 words
576,1,MolSentence with 54 words
577,1,MolSentence with 82 words
578,1,MolSentence with 80 words
579,1,MolSentence with 88 words
580,1,MolSentence with 88 words
581,1,MolSentence with 80 words
582,1,MolSentence with 56 words
583,1,MolSentence with 50 words
584,1,MolSentence with 76 words
585,1,MolSentence with 86 words
586,1,MolSentence with 84 words
587,1,MolSentence with 62 words
588,1,MolSentence with 86 words
589,1,MolSentence with 86 words
590,1,MolSentence with 66 words
591,1,MolSentence with 60 words
592,1,MolSentence with 88 words
593,1,MolSentence with 72 words
594,1,MolSentence with 66 words
595,1,MolSentence with 84 words
596,1,MolSentence with 58 words
597,1,MolSentence with 70 words
598,1,MolSentence with 70 words
599,1,MolSentence with 80 words
600,1,MolSentence with 54 words
601,1,MolSentence with 56 words
602,1,MolSentence with 68 words
603,1,MolSentence with 68 words
604,1,MolSentence with 88 words
605,1,MolSentence with 72 words
606,1,MolSentence with 90 words
607,1,MolSentence with 54 words
608,1,MolSentence with 52 words
609,1,MolSentence with 72 words
610,1,MolSentence with 88 words
611,1,MolSentence with 82 words
612,1,MolSentence with 58 words
613,1,MolSentence with 64 words
614,1,MolSentence with 56 words
615,1,MolSentence with 56 words
616,1,MolSentence with 74 words
617,1,MolSentence with 58 words
618,1,MolSentence with 60 words
619,1,MolSentence with 56 words
620,1,MolSentence with 62 words
621,1,MolSentence with 68 words
622,1,MolSentence with 56 words
623,1,MolSentence with 60 words
624,1,MolSentence with 52 words
625,1,MolSentence with 54 words
626,1,MolSentence with 54 words
627,1,MolSentence with 56 words
628,1,MolSentence with 68 words
629,1,MolSentence with 76 words
630,1,MolSentence with 66 words
631,1,MolSentence with 86 words
632,1,MolSentence with 82 words
633,1,MolSentence with 68 words
634,1,MolSentence with 68 words
635,1,MolSentence with 78 words
636,1,MolSentence with 70 words
637,1,MolSentence with 82 words
638,1,MolSentence with 62 words
639,1,MolSentence with 92 words
640,1,MolSentence with 66 words
641,1,MolSentence with 52 words
642,1,MolSentence with 70 words
643,1,MolSentence with 84 words
644,1,MolSentence with 52 words
645,1,MolSentence with 70 words
646,1,MolSentence with 66 words
647,1,MolSentence with 76 words
648,1,MolSentence with 54 words
649,1,MolSentence with 70 words
650,1,MolSentence with 70 words
651,1,MolSentence with 50 words
652,1,MolSentence with 86 words
653,1,MolSentence with 70 words
654,1,MolSentence with 72 words
655,1,MolSentence with 84 words
656,1,MolSentence with 90 words
657,1,MolSentence with 62 words
658,1,MolSentence with 64 words
659,1,MolSentence with 66 words
660,1,MolSentence with 58 words
661,1,MolSentence with 54 words
662,1,MolSentence with 58 words
663,1,MolSentence with 62 words
664,1,MolSentence with 58 words
665,1,MolSentence with 110 words
666,1,MolSentence with 62 words
667,1,MolSentence with 58 words
668,1,MolSentence with 56 words
669,1,MolSentence with 90 words
670,1,MolSentence with 76 words
671,1,MolSentence with 100 words
672,1,MolSentence with 96 words
673,1,MolSentence with 98 words
674,1,MolSentence with 60 words
675,1,MolSentence with 62 words
676,1,MolSentence with 68 words
677,1,MolSentence with 68 words
678,1,MolSentence with 62 words
679,1,MolSentence with 62 words
680,1,MolSentence with 70 words
681,1,MolSentence with 90 words
682,1,MolSentence with 86 words
683,1,MolSentence with 76 words
684,1,MolSentence with 68 words
685,1,MolSentence with 80 words
686,1,MolSentence with 64 words
687,1,MolSentence with 64 words
688,1,MolSentence with 56 words
689,1,MolSentence with 64 words
690,1,MolSentence with 62 words
691,1,MolSentence with 66 words
692,1,MolSentence with 76 words
693,1,MolSentence with 56 words
694,1,MolSentence with 64 words
695,1,MolSentence with 68 words
696,1,MolSentence with 72 words
697,1,MolSentence with 52 words
698,1,MolSentence with 56 words
699,1,MolSentence with 58 words
700,1,MolSentence with 84 words
701,1,MolSentence with 58 words
702,1,MolSentence with 84 words
703,1,MolSentence with 88 words
704,1,MolSentence with 54 words
705,1,MolSentence with 104 words
706,1,MolSentence with 88 words
707,1,MolSentence with 54 words
708,1,MolSentence with 78 words
709,1,MolSentence with 80 words
710,1,MolSentence with 54 words
711,1,MolSentence with 62 words
712,1,MolSentence with 52 words
713,1,MolSentence with 68 words
714,1,MolSentence with 58 words
715,1,MolSentence with 52 words
716,1,MolSentence with 74 words
717,1,MolSentence with 60 words
718,1,MolSentence with 62 words
719,1,MolSentence with 92 words
720,1,MolSentence with 74 words
721,1,MolSentence with 60 words
722,1,MolSentence with 50 words
723,1,MolSentence with 70 words
724,1,MolSentence with 56 words
725,1,MolSentence with 84 words
726,1,MolSentence with 72 words
727,1,MolSentence with 82 words
728,1,MolSentence with 86 words
729,1,MolSentence with 80 words
730,1,MolSentence with 58 words
731,1,MolSentence with 76 words
732,1,MolSentence with 74 words
733,1,MolSentence with 88 words
734,1,MolSentence with 84 words
735,1,MolSentence with 86 words
736,1,MolSentence with 72 words
737,1,MolSentence with 76 words
738,1,MolSentence with 66 words
739,1,MolSentence with 76 words
740,1,MolSentence with 70 words
741,1,MolSentence with 60 words
742,1,MolSentence with 70 words
743,1,MolSentence with 66 words
744,1,MolSentence with 70 words
745,1,MolSentence with 54 words
746,1,MolSentence with 60 words
747,1,MolSentence with 60 words
748,1,MolSentence with 50 words
749,1,MolSentence with 58 words
750,1,MolSentence with 54 words
751,1,MolSentence with 52 words
752,1,MolSentence with 76 words
753,1,MolSentence with 90 words
754,1,MolSentence with 78 words
755,1,MolSentence with 80 words
756,1,MolSentence with 78 words
757,1,MolSentence with 64 words
758,1,MolSentence with 86 words
759,1,MolSentence with 72 words
760,1,MolSentence with 54 words
761,1,MolSentence with 70 words
762,1,MolSentence with 62 words
763,1,MolSentence with 76 words
764,1,MolSentence with 62 words
765,1,MolSentence with 86 words
766,1,MolSentence with 60 words
767,1,MolSentence with 60 words
768,1,MolSentence with 54 words
769,1,MolSentence with 58 words
770,1,MolSentence with 58 words
771,1,MolSentence with 52 words
772,1,MolSentence with 50 words
773,1,MolSentence with 76 words
774,1,MolSentence with 66 words
775,1,MolSentence with 62 words
776,1,MolSentence with 60 words
777,1,MolSentence with 78 words
778,1,MolSentence with 78 words
779,1,MolSentence with 66 words
780,1,MolSentence with 66 words
781,1,MolSentence with 52 words
782,1,MolSentence with 62 words
783,1,MolSentence with 56 words
784,1,MolSentence with 52 words
785,1,MolSentence with 60 words
786,1,MolSentence with 74 words
787,1,MolSentence with 56 words
788,1,MolSentence with 54 words
789,1,MolSentence with 66 words
790,1,MolSentence with 62 words
791,1,MolSentence with 52 words
792,1,MolSentence with 64 words
793,1,MolSentence with 70 words
794,0,MolSentence with 66 words
795,0,MolSentence with 60 words
796,0,MolSentence with 54 words
797,0,MolSentence with 60 words
798,0,MolSentence with 64 words
799,0,MolSentence with 86 words
800,0,MolSentence with 72 words
801,0,MolSentence with 70 words
802,0,MolSentence with 70 words
803,0,MolSentence with 58 words
804,0,MolSentence with 94 words
805,0,MolSentence with 50 words
806,0,MolSentence with 70 words
807,0,MolSentence with 70 words
808,0,MolSentence with 66 words
809,0,MolSentence with 58 words
810,0,MolSentence with 68 words
811,0,MolSentence with 70 words
812,0,MolSentence with 58 words
813,0,MolSentence with 90 words
814,0,MolSentence with 62 words
815,0,MolSentence with 72 words
816,0,MolSentence with 62 words
817,0,MolSentence with 58 words
818,0,MolSentence with 88 words
819,0,MolSentence with 82 words
820,0,MolSentence with 58 words
821,0,MolSentence with 90 words
822,0,MolSentence with 52 words
823,0,MolSentence with 52 words
824,0,MolSentence with 72 words
825,0,MolSentence with 60 words
826,0,MolSentence with 52 words
827,0,MolSentence with 70 words
828,0,MolSentence with 68 words
829,0,MolSentence with 66 words
830,0,MolSentence with 72 words
831,0,MolSentence with 56 words
832,0,MolSentence with 68 words
833,0,MolSentence with 64 words
834,0,MolSentence with 62 words
835,0,MolSentence with 60 words
836,0,MolSentence with 50 words
837,0,MolSentence with 68 words
838,0,MolSentence with 72 words
839,0,MolSentence with 108 words
840,0,MolSentence with 56 words
841,0,MolSentence with 62 words
842,0,MolSentence with 52 words
843,0,MolSentence with 100 words
844,0,MolSentence with 60 words
845,0,MolSentence with 78 words
846,0,MolSentence with 52 words
847,0,MolSentence with 70 words
848,0,MolSentence with 60 words
849,0,MolSentence with 58 words
850,0,MolSentence with 80 words
851,0,MolSentence with 64 words
852,0,MolSentence with 70 words
853,0,MolSentence with 90 words
854,0,MolSentence with 50 words
855,0,MolSentence with 54 words
856,0,MolSentence with 64 words
857,0,MolSentence with 74 words
858,0,MolSentence with 94 words
859,0,MolSentence with 70 words
860,0,MolSentence with 70 words
861,0,MolSentence with 72 words
862,0,MolSentence with 70 words
863,0,MolSentence with 48 words
864,0,MolSentence with 74 words
865,0,MolSentence with 54 words
866,0,MolSentence with 66 words
867,0,MolSentence with 92 words
868,0,MolSentence with 70 words
869,0,MolSentence with 86 words
870,0,MolSentence with 88 words
871,0,MolSentence with 70 words
872,0,MolSentence with 70 words
873,0,MolSentence with 56 words
874,0,MolSentence with 82 words
875,0,MolSentence with 76 words
876,0,MolSentence with 66 words
877,0,MolSentence with 70 words
878,0,MolSentence with 90 words
879,0,MolSentence with 84 words
880,0,MolSentence with 62 words
881,0,MolSentence with 62 words
882,0,MolSentence with 62 words
883,0,MolSentence with 56 words
884,0,MolSentence with 66 words
885,0,MolSentence with 64 words
886,0,MolSentence with 76 words
887,0,MolSentence with 74 words
888,0,MolSentence with 52 words
889,0,MolSentence with 86 words
890,0,MolSentence with 68 words
891,0,MolSentence with 90 words
892,0,MolSentence with 78 words
893,0,MolSentence with 66 words
894,0,MolSentence with 74 words
895,0,MolSentence with 68 words
896,0,MolSentence with 70 words
897,0,MolSentence with 62 words
898,0,MolSentence with 76 words
899,0,MolSentence with 66 words
900,0,MolSentence with 56 words
901,0,MolSentence with 78 words
902,0,MolSentence with 78 words
903,0,MolSentence with 104 words
904,0,MolSentence with 50 words
905,0,MolSentence with 84 words
906,0,MolSentence with 120 words
907,0,MolSentence with 66 words
908,0,MolSentence with 102 words
909,0,MolSentence with 76 words
910,0,MolSentence with 70 words
911,0,MolSentence with 58 words
912,0,MolSentence with 60 words
913,0,MolSentence with 74 words
914,0,MolSentence with 70 words
915,0,MolSentence with 70 words
916,0,MolSentence with 52 words
917,0,MolSentence with 54 words
918,0,MolSentence with 56 words
919,0,MolSentence with 70 words
920,0,MolSentence with 56 words
921,0,MolSentence with 74 words
922,0,MolSentence with 58 words
923,0,MolSentence with 54 words
924,0,MolSentence with 50 words
925,0,MolSentence with 56 words
926,0,MolSentence with 64 words
927,0,MolSentence with 86 words
928,0,MolSentence with 70 words
929,0,MolSentence with 64 words
930,0,MolSentence with 74 words
