,sentence,classification,set
24,847957139 2591432844 2246699815 2448572767 847957139 2591432844 847336149 3571798645 847336149 3571802598 2246703798 3956360032 3217380708 2393016670 3217380708 2424973678 1016841875 3452535345 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 2424973678 1016841875 3452535345,0.0,train
25,2246728737 3537119515 2245273601 2423543607 2246728737 3537119515 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 3579962709 3218693969 951226070 3218693969 951226070 2245273601 3232361348 2246728737 3537119515 2246699815 3855312692 864662311 1533864325 864942730 1510328189,0.0,train
26,2246728737 3537119515 2245273601 4252229081 847957139 2599973650 2245273601 3110205660 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 2905660137 864662311 26234434 3218693969 994485099,0.0,train
27,2246728737 3537119515 2245273601 2635303940 2246728737 3537119515 847961216 1369588494 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099,0.0,train
28,847957139 2599973650 2245273601 4274980665 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099 2246699815 3855312692 864662311 1533864325 864942730 1510328189,0.0,train
29,2246728737 3975275337 864674487 2222621677 2245384272 4008337421 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 2115476908 2245384272 4003049590 2245273601 1674219510 864662311 1542633699 2245384272 781912670 847961216 1369588494 2245273601 2635303940 2246728737 3537119515 2246728737 3537119515 3218693969 951226070 3218693969 951226070,1.0,train
30,847957139 2599973650 2245273601 4274980665 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 1449131080 3218693969 951226070 3218693969 951226070 848128881 4118787735 2245384272 603510687 2245384272 2909042096 1016841875 198706261 2245384272 603510687 2245384272 2909042096 1016841875 198706261 2246699815 3855312692 864662311 1533864325 864942730 1510328189,0.0,train
31,2246728737 3537123720 2245277810 1033828962 847957139 2599969443 2245384272 73745272 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099 2246699815 3850856377 864662311 1533864325 864942730 1510328189,0.0,train
32,3737048253 2246728737 3545365497 2246699815 411967733 864942730 1510328189 847961216 1790668568 3217380708 4042373501 3217380708 843007957 319552149 427867059 3217380708 4042373501 847961216 1790668568 2246699815 411967733 2246728737 3545365497 864942730 1510328189 3217380708 843007957 319552149 427867059 3217380708 2308348490 2246699815 4037090848 864942795 1510323402 864942730 1510328189 3217380708 843007957 319552149 427867059,0.0,train
33,2246728737 3537119515 2245273601 2635303940 2246728737 3537119515 847961216 1369588494 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 3918336191 847961216 1229325558 999334238 4068239769 2246728737 3835273908 864942730 2228063684 864942730 2228063684 3218693969 951226070 3218693969 951226070,1.0,train
34,847957139 2592785365 2245384272 782176117 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 2905660137 864662311 26234434 3218693969 994485099,0.0,train
35,2246728737 3542456614 2245384272 3994088662 864674487 2115476908 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 3918336191 847961216 1790668568 2246699815 411967733 2246728737 3545365497 864942730 1510328189 3218693969 951226070 3218693969 951226070,0.0,train
36,2246728737 3542456614 2245384272 1173125914 2245384272 603510687 848128881 368370992 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 999334238 3045022511 864942730 2228063684 864942730 2228063684 3217380708 2223687999 3218693969 951226070 3218693969 951226070 3217380708 2994748777 3218693969 951226070 3218693969 951226070 2246699815 2784506312 864662311 1533864325 864942730 1510328189,0.0,train
37,864662311 1533864325 2246699815 2784506312 864942730 1510328189 3217380708 2309124039 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3026394695 864662311 26234434,0.0,train
38,2246728737 3537119515 2245273601 2635303940 2246728737 3537119515 847961216 1369588494 2245384272 781912670 2245273601 1674219510 864662311 1542633699 2245384272 4003049590 864674487 2115476908 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 4121755354 2245384272 616374597 2246699815 3328145258 847957139 2591432844 864942730 1510328189 3218693969 951226070 3218693969 951226070,0.0,train
39,3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 98513984,1.0,train
40,2246728737 3542456614 2245384272 1173125914 2245384272 1510461303 2245384272 787069595 847961216 717512901 2246699815 2447826885 864942730 1510328189 847961216 2200148275 999334238 288315894 864942730 2228063684 864942730 2228063684 3217380708 2223687999 3218693969 951226070 3218693969 951226070 3217380708 3207567135 2246728737 422715066 3218693969 951226070 3218693969 951226070,0.0,train
41,2246728737 3537119515 2245273601 4274827831 847957139 2599973650 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
42,2246728737 3542456614 2245384272 618671879 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
43,2246728737 3542456614 2245384272 3994088662 864674487 2222715027 2246699815 2827868305 864942730 1510328189 3217380708 2994748777 3218693969 951226070 3218693969 951226070 3217380708 3975295864 847957139 1083852209 3218693969 951226070 3218693969 951226070,1.0,train
44,2246728737 3537119515 2245273601 2637439965 847961216 1370727332 2245277810 144568923 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2246699815 3319544194 864942730 1510328189 3217380708 2994748777 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 2246340824 1016841875 3452535345 3218693969 994485099,1.0,train
45,864662311 1535166686 2245384272 4023654873 2245384272 4008337421 864674487 2222715027 2246699815 1399127774 864942730 1510328189 847961216 717512901 2245384272 3908647167 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
46,864662311 1533864325 2246699815 4278941385 864942730 1510328189 2245384272 773709216 847961216 717512901 2246699815 1054767590 864942730 1510328189 3217380708 2309124039 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3026394695 864662311 26234434,1.0,train
47,2246728737 422715066 3217380708 3207567135 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
48,2246728737 422715066 3217380708 3207567135 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3207567135 2246728737 422715066 3218693969 994485099,1.0,train
49,2246728737 3975275337 864674487 2154935424 2246699815 2827868305 864942730 1510328189 3217380708 2994748777 3218693969 951226070 3218693969 951226070 3217380708 2994748777 3218693969 951226070 3218693969 951226070 2246699815 2827868305 864942730 1510328189 864674487 2154935424 2246728737 3975275337,1.0,train
50,2246728737 422715066 3217380708 3124581743 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3124581743 2246728737 422715066,1.0,train
51,2246728737 422715066 3217380708 3207567135 3218693969 951226070 3218693969 951226070 3217380708 3207567135 2246728737 422715066 3218693969 951226070 3218693969 951226070,1.0,train
52,3218693969 951226070 3218693969 951226070 3217380708 1449131080 3218693969 951226070 3218693969 951226070 3217380708 4121755354 2245384272 3624155 2245384272 1510461303 2245384272 1167322652 2246699815 4194366826 864674487 2810421479 2245277810 135980867 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 864942730 1510328189 848128881 4118787735 2245384272 603510687 2245384272 2909042096 1016841875 198706261 2245384272 603510687 2245384272 2909042096 1016841875 198706261,1.0,train
53,2246728737 3537123720 2245277810 144568923 2246728737 3537123720 2246728737 3537123720 847961216 1369337945 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 4089138501 2245384272 2849741637 864662311 1535166686 3218693969 994485099,0.0,train
54,2246728737 3542456614 2245384272 1505769767 2245277810 2201149108 864662311 1542631284 2245384272 4003054055 864674487 2222715027 2246699815 1349051879 847957139 2591432844 864942730 1510328189 3217380708 3933537673 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
55,2246728737 3542456614 2245384272 592593828 848128881 3010410747 2245384272 592593828 2246728737 3542456614 2245384272 592655526 2246699815 3315826729 864942730 1510328189 847961216 1790668568 3217380708 4042373501 3217380708 3124581743 2246728737 422715066 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3124581743 2246728737 422715066,1.0,train
56,2246728737 3818546315 848128881 3121777292 2246728737 3818546315 2245384272 603510687 2245384272 4008337421 864674487 2222715027 2246699815 4194366826 864942730 1510328189 2245384272 3995043796 864674487 2115476908 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 2246340824 1016841875 3452535345 3218693969 951226070 3218693969 951226070,1.0,train
57,2246728737 3542456614 2245384272 1173125914 2245384272 1167322652 2246699815 3315826729 864942730 1510328189 847961216 1790668568 3217380708 3918336191 3218693969 951226070 3218693969 951226070 3217380708 1135286194 864674487 2115476908 2245384272 4003049590 2245273601 1674219510 864662311 1542633699 2245384272 781912670 847961216 1369588494 2245273601 2635303940 2246728737 3537119515 2246728737 3537119515 3217380708 2309124039 3218693969 994485099 2246699815 1822332700 2246728737 3545365497 864942730 1510328189,1.0,train
58,2246728737 3975275337 864674487 2076190208 3217380708 1135286194 3218693969 994485099 3217380708 4121755354 2245384272 3624155 2245384272 787341104 847957139 2592785365 3218693969 994485099 3217380708 1135286194 864674487 2076190208 2246728737 3975275337 3217380708 1136130381 864674487 2076190208 2246728737 3975275337,1.0,train
59,2246728737 3824063894 847961216 1362425715 2245273601 4223817698 2246728737 3537119515 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
60,2246728737 3975275337 864674487 2076190208 3217380708 1135286194 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 1135286194 864674487 2115476908 2245384272 4003049590 2245273601 1674219510 864662311 1542633699 2245384272 4003049590 864674487 2222715027 2246699815 1349051879 847957139 2591432844 864942730 1510328189,1.0,train
61,847957139 1083852209 3217380708 3975295864 3218693969 951226070 3218693969 951226070 3217380708 2309124039 2246699815 2784506312 864662311 1533864325 864942730 1510328189 3217380708 3026394695 864662311 26234434 3218693969 994485099,0.0,train
62,2246728737 3824063894 847961216 717723595 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099,0.0,train
63,847957139 2599973650 2245273601 4274980665 2245384272 4022716898 864662311 1535166686 2246699815 4222851645 864942730 1510328189 847961216 3320199913 847961216 3323076048 2245384272 3908647167 3217380708 4089138501 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3025629386 864662311 26234434 3217380708 3025629386 864662311 26234434,0.0,train
64,2246728737 3537123720 2245277810 144568923 2246728737 3537123720 2246728737 3537123720 847961216 1369337945 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 4041573576 847961216 1790668568 2246699815 2431311350 847957139 2591432844 864942730 1510328189 3218693969 994485099,0.0,train
65,2246728737 3824063894 847961216 717723595 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 1135286194 864674487 2077658817 2246699815 4038637638 864942730 1510328189 2245277810 1704599822 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 3217380708 1135286194 864674487 2077658817 2246699815 4038637638 864942730 1510328189 2245277810 1704599822 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 3218693969 994485099,0.0,train
66,2246728737 3542456614 2245384272 773607102 847961216 894436332 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 2905660137 864662311 26234434 3218693969 994485099,0.0,train
67,2246728737 3537119515 2245273601 4223817698 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 847961216 2197143545 864662311 2328755054,0.0,train
68,2246728737 3824063894 847961216 1362425715 2245273601 4066943324 2246728737 3537119515 2245273601 3110205660 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 2905660137 864662311 26234434 3218693969 951226070 3218693969 951226070,0.0,train
69,2246728737 3824063894 847961216 1362425715 2245273601 2637439965 2246728737 3537119515 2246699815 3319544194 864942730 1510328189 3217380708 2994748777 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 2076190208 2246728737 3975275337 3218693969 951226070 3218693969 951226070,0.0,train
70,2246728737 3824063894 847961216 717723595 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3162837314 864674487 2077658817 2246699815 4038637638 864942730 1510328189 2245277810 1704599822 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 3218693969 994485099,0.0,train
71,3218693969 951226070 3218693969 951226070 3217380708 2246340824 3218693969 951226070 3218693969 951226070 3217380708 4121755354 2245384272 73745272 2245277810 3590215779 864674487 2810421479 2246699815 4036774035 2245273601 2655406212 2246728737 3537119515 847957139 2599973650 864942730 1510328189 2246728737 3537123720 2246728737 3537123720 1016841875 3452535345,1.0,train
72,3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 1135286194 3217380708 2309124039 2246699815 2784506312 864662311 1533864325 864942730 1510328189 864674487 2077658817 2246699815 2664995851 2246728737 3545365497 864942730 1510328189,1.0,train
73,3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 4121755354 2245384272 3908647167 847961216 717512901 2246699815 3315826729 2245384272 1167322652 2245384272 2909042096 1016841875 198706261 864942730 1510328189,1.0,train
74,2245384272 2849741637 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 864662311 1535166686,1.0,train
75,3218693969 994485099 3217380708 2309124039 3217380708 3025629386 3217380708 3124581743 3218693969 994485099 3217380708 2646219661 3612926680 3632350815 2246728737 422715066 864662311 26234434 2246699815 1070821685 847957139 2591432844 864942730 1510328189,1.0,train
76,3218693969 951226070 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 3918336191 3218693969 951226070 847961216 1790668568 2246699815 411967733 2246728737 3545365497 864942730 1510328189 864674487 434045476 2245277810 135980867 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720,1.0,train
77,3218693969 994485099 3217380708 4158944142 3217380708 3124581743 3218693969 951226070 3218693969 951226070 3217380708 2994748777 2246699815 1926549088 2245384272 1167322652 2245384272 1510461303 2245384272 1510461303 2245384272 1173125914 2246728737 3542456614 847336149 2451306927 864674487 921629099 2245384272 4008337421 2245384272 787341104 847957139 2592785365 2246728737 422715066 847957139 1083852209,1.0,train
78,3218693969 951226070 3217380708 3579962709 2245273601 3147100053 864674487 2807496773 2246699815 1349051879 847957139 2591432844 864942730 1510328189 2245900962 3295335300 2245897107 3492293582 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984,1.0,train
79,3218693969 951226070 3217380708 2994748777 3218693969 951226070 3218693969 951226070 3217380708 2223687999 3218693969 951226070 999334238 3532053313 847957139 3275683399 864942730 2228063684 864942730 2228063684 2246699815 2784506312 864662311 1533864325 864942730 1510328189,1.0,train
80,2245273601 2655406212 2246699815 3319544194 3217380708 2994748777 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 864942730 1510328189 2246728737 3537119515 847957139 2599973650,1.0,train
81,3218693969 951226070 3217380708 3579962709 2245273601 3110205660 864662311 1542633699 2245273601 4073938295 2245384272 4022716898 864662311 1535166686 847961216 1362518133 2246699815 4222851645 2245273601 2406779329 1016841875 170898322 1016841875 170898322 864942730 1510328189 3218693969 951226070 3218693969 951226070 3217380708 2994748777 3218693969 951226070 2246699815 1822332700 864942730 1510328189 2246728737 3545365497,1.0,train
82,3218693969 951226070 3217380708 1135286194 3217380708 2424973678 3218693969 994485099 3217380708 2246340824 3218693969 951226070 1016841875 3452535345 1016841875 3452535345 864674487 2115476908 2245384272 4008337421 2245384272 1510461303 2245384272 603510687 848128881 3012865236 2245384272 592504101 2245900962 3633369638 2245897107 3492293582 2246728737 3818546315,1.0,train
83,3218693969 994485099 3217380708 2994748777 2246699815 1070821685 847957139 2591432844 864942730 1510328189 3218693969 994485099 3217380708 1135286194 3217380708 1136130381 3217380708 1135286194 864674487 2076190208 2246728737 3975275337 864674487 2115476908 2245384272 4008337421 2245384272 1510461303 2245384272 1510461303 2245384272 1510461303 2245384272 1510461303 2245384272 1510461303 2245384272 1510461303 2245384272 1510461303 2245384272 1173125914 2246728737 3542456614 864674487 2076190208 2246728737 3975275337,1.0,train
84,3218693969 994485099 3217380708 2246340824 1016841875 3452535345 3218693969 994485099 3217380708 2424973678 3217380708 1136130381 3217380708 2309124039 2246699815 1054767590 847961216 717512901 2245384272 787069595 2245384272 603510687 848128881 3010410747 2245384272 592593828 2246728737 3542456614 2245384272 592593828 2246728737 3542456614 864942730 1510328189 864674487 2076190208 2246728737 3975275337 1016841875 3452535345,1.0,train
85,2246728737 3818546315 848128881 4178682433 2245273601 486030630 2246728737 3537119515 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2246728737 3818546315,1.0,train
86,3218693969 994485099 3217380708 3162837314 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3933537673 2245277810 3032915404 2245384272 781917169 847961216 717512901 2246699815 3315826729 2245384272 1167322652 2245384272 1510461303 2245384272 4023654873 864662311 1535166686 864942730 1510328189 2245384272 1505769767 2246728737 3542456614 2245384272 1505769767 2246728737 3542456614 864674487 2076190208 2246728737 3975275337,1.0,train
87,3218693969 951226070 3217380708 3579962709 2245273601 4138040424 2245384272 4003049590 864674487 2222715027 2246699815 1349051879 847957139 2591432844 864942730 1510328189 2245384272 4003049590 864674487 2222715027 2246699815 1349051879 847957139 2591432844 864942730 1510328189 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984,1.0,train
88,3218693969 951226070 3218693969 951226070 3217380708 2246340824 3218693969 951226070 3218693969 951226070 3217380708 3933537673 2245277810 1448829206 2245384272 1581998710 2245277810 3992738647 2246728737 3537123720 2246728737 3537123720 864662311 1542631284 2246728737 3537123720 864662311 1542631284 1016841875 3452535345,1.0,train
89,3218693969 951226070 3217380708 3491109101 2245273601 2782530898 2245384272 781912670 847961216 1369337945 2245277810 144568923 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 864662311 1542633699 3217380708 1857396528 3218693969 951226070 3218693969 98513984 3218693969 98513984 882399112 3337745083,1.0,train
90,2245273601 3110205660 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 2223687999 3218693969 951226070 3218693969 951226070 999334238 3266129148 2246728737 3835273908 864942730 2228063684 864942730 2228063684 2245273601 4073938295 847961216 1362518133 2246699815 4222851645 2245273601 2406779329 1016841875 170898322 1016841875 170898322 864942730 1510328189 2245384272 2685369224 882399112 484537559 864662311 1542633699,1.0,train
91,2246728737 3542456614 2245384272 3994088662 864674487 2222715027 2246699815 3726304495 864942730 1510328189 848128881 4229088015 2245384272 603510687 2245384272 603510687 848128881 3121777292 2246728737 3818546315 2246728737 3818546315 3217380708 1449131080 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3933537673 3218693969 994485099 2245277810 1312131881 882399112 485463469 882399112 485463469 882399112 485463469,1.0,train
