,sentence,classification
10,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245273601 3411158823 864662311 1542633699 2976033787 179419379 2114006677 2238033879 2968968094 1498892946 2976033787 1486598263 864674487 617798156 3217380708 3162837314 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2968968094 517457164,1
11,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245273601 3411158823 864662311 1542633699 2976033787 487465637 2114006677 2238033879 2968968094 1489640315 2968968094 2803848648 2092489639 1923187777 2245384272 2089117413 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3925172229 864942730 10565946,1
12,2865977551 3974000759 864942730 1971534293 864942730 1971534293 2092489639 814885194 2968968094 2803848648 2968968094 2142032900 2968968094 2142032900 2968968094 2310811238 3217380708 2473389857 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3918336191 847961216 1868602760 2245384272 773607102 2246728737 3542456614 3218693969 994485099 2246699815 1054767590 864942730 1510328189 847961216 1362518133 2245273601 4073938295 2245273601 1735424888 864662311 1542633699 2245384272 562443903 847690172 314526925 2245384272 3957580956 3217380708 4121755354 3218693969 994485099 3217380708 3933537673 3218693969 951226070 3218693969 98513984 3218693969 951226070 2245277810 1312131881 882399112 485463469 882399112 485463469 882399112 485463469 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1
13,999334238 564293713 864942730 2228063684 864942730 2228063684 848128881 459725929 3217380708 1449131080 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3918336191 847961216 1868602760 2245384272 773607102 2246728737 3542456614 3218693969 994485099 2246699815 1054767590 864942730 1510328189 847961216 1362518133 2245273601 4073938295 2245273601 1735424888 864662311 1542633699 2245384272 562443903 847690172 4159771440 2245273601 1409451322 2246699815 4222851645 864942730 1510328189 847961216 1693331843 2976033787 623728226 2968968094 2117068077 2968968094 2142032900 2968968094 2142032900 2968968094 2142032900 2968968094 2117068077 2246728737 3537119515 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 1449131080 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2246728737 3835273908,1
14,2850007887 3374980050 864942730 1987872597 2968968094 1408048745 2976033787 1739309282 2245384272 3599139274 3217380708 4121755354 3218693969 994485099 3217380708 1135286194 864674487 431202968 2245273601 4002801397 2245384272 4003049590 864674487 2222621677 2246728737 3975275337 2245277810 68671624 882399112 485463469 882399112 485463469 882399112 485463469 3217380708 4160330003 847957139 1083852209 3217380708 1857396528 882399112 3337745083 3218693969 994485099 2976033787 675765711 864662311 266675433 2976033787 4143260864 847690172 1188634672 2245384272 3957580956 3217380708 4121755354 3218693969 994485099 3217380708 3933537673 3218693969 951226070 3218693969 98513984 3218693969 951226070 2245277810 994237755 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2968968094 1408048745,1
15,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245273601 1735424888 864662311 1542633699 2245384272 562443903 847690172 314526925 2245384272 3957580956 3217380708 4121755354 3218693969 994485099 3217380708 3162837314 864674487 2076190208 2246728737 3975275337 3218693969 951226070 3218693969 98513984 3218693969 951226070,1
16,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245273601 3411158823 864662311 1542633699 2976033787 179419379 2114006677 2238033879 2968968094 1498892946 2976033787 1486598263 864674487 1759589175 2245384272 2835079913 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2968968094 517457164,1
17,319552149 427867059 3217380708 1024251450 3218693969 994485099 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 951226070 2245384272 3957580956 847690172 314526925 2245384272 562443903 2245273601 1735424888 864662311 1542633699 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 74537039 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099,1
18,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245273601 3411158823 864662311 1542633699 2976033787 487465637 2114006677 2238033879 2968968094 1513153905 2092489639 1923187777 2245384272 2089117413 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3925172229 864942730 10565946,1
19,999334238 2212573984 864942730 2228063684 864942730 2228063684 2092489639 3461773897 2968968094 2811394787 2976033787 179419379 2114006677 2238033879 2968968094 1489640315 2968968094 2803848648 2245273601 3411158823 864662311 1542633699 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 74537039 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 3217380708 2223687999 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1
20,882399112 3337745083 3217380708 1637836422 3218693969 951226070 3218693969 951226070 3217380708 4121755354 3218693969 951226070 3218693969 951226070 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 411967733 864942730 1510328189 2246728737 3545365497 2245273601 1735424888 864662311 1542633699 2245384272 562443903 847690172 1188634672 2976033787 3836271195 2968968094 516041383 2976816164 4214532707 3189457552 2950679810 3217380708 111711661 2041434490 1100037548 3218693969 3777168895 3217380708 4121755354 3218693969 994485099 3217380708 3334525955 2245384272 73745272 2245277810 1914229733 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2968968094 2119439498 2968968094 2142032900 2968968094 2119439498,1
21,864674487 2076190208 2246728737 3975275337 3217380708 3162837314 3218693969 994485099 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 951226070 2245384272 3957580956 847690172 314526925 2245384272 562443903 2245273601 1735424888 864662311 1542633699 2245273601 4073938295 847961216 1362518133 2246699815 4222851645 864942730 1510328189 2245273601 2603173879 2092489639 211903143 2968968094 2803848648 2968968094 2119439498 2976816164 1237121865 847961216 1693589848 2246699815 411967733 864942730 1510328189 2246728737 3545365497 2245273601 1021876022 2245384272 1506563592 2246728737 3542456614 2246728737 3537119515 3217380708 3974650111 864942730 10565946 2245384272 1583799011 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1
22,3351556771 1792562719 3218693969 203749390 3218693969 3776905034 2041434490 1100037548 3217380708 170727310 3217380708 2353112200 3218693969 994485099 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 951226070 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 4222851645 864942730 1510328189 2245273601 1626281205 864674487 2807475527 2246728737 3975275337 2246728737 3537119515 2245273601 1735424888 864662311 1542633699 2245384272 562443903 847690172 1188634672 2976033787 3836271195 2968968094 516041383 2976816164 4214532707 3189457552 2950679810 3217380708 111711661 2041434490 1100037548 3218693969 3777168895 3217380708 4121755354 3218693969 994485099 3217380708 3334525955 2245384272 73745272 2245277810 1914229733 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2968968094 2119439498 2968968094 2142032900 2968968094 2119439498,1
23,999334238 564293713 864942730 2228063684 864942730 2228063684 848128881 3035449400 2246728737 3818546315 3217380708 1449131080 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 2246699815 1054767590 864942730 1510328189 847961216 1362518133 2245273601 4073938295 2245273601 1735424888 864662311 1542633699 2245384272 1582607016 2245273601 2424530656 2246699815 4222851645 864942730 1510328189 847961216 1362518133 2245273601 4066851934 2245273601 3004333805 2246728737 3537119515 2246728737 3537119515 2246699815 4222851645 864942730 1510328189 847961216 717512901 2245384272 3908647167 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2246728737 3537119515 2245384272 4003049590 864674487 2215059400 2245384272 2835079913 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2246699815 1054767590 864942730 1510328189 847961216 1362518133 2245273601 1467778651 2246728737 3537119515 3217380708 3579962709 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2246728737 3835273908,1
24,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 3207567135 3218693969 994485099 2246728737 422715066 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245273601 3411158823 864662311 1542633699 2976033787 179419379 2114006677 2238033879 2968968094 1489640315 2968968094 2117068077 2976033787 1486598263 864674487 1759589175 2245384272 3994088662 2246728737 3542456614 2968968094 517457164,1
25,999334238 564293713 864942730 2228063684 864942730 2228063684 848128881 3035449400 2246728737 3818546315 3217380708 1449131080 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 2246699815 1054767590 864942730 1510328189 847961216 1362518133 2245273601 4200113039 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2245384272 562443903 847690172 4159771440 2245273601 1409451322 2246699815 4222851645 864942730 1510328189 847961216 717512901 2245384272 781912670 2245273601 2423543607 2246728737 3537119515 2246728737 3537119515 2246728737 3537119515 2246699815 1054767590 864942730 1510328189 847961216 1362518133 2245273601 1467778651 2246728737 3537119515 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 1637836422 882399112 3337745083 3218693969 951226070 3218693969 951226070 2246728737 3835273908,1
26,1016841875 3452535345 3217380708 2246340824 3218693969 994485099 3217380708 1842898132 2968968094 1910766508 2976816164 158799869 2130998634 1710622492 3217380708 808533707 847961216 2341585586 2245273601 4223976160 2245384272 172238518 2976033787 1880975502 2976033787 2015217103 3351556771 3894849308 3218693969 1387309280 3217380708 3334979549 3217380708 2353112200 3218693969 3777168895 2041434490 458195553 2132511834 692277943 3218693969 2752034647 2245384272 912632640 2245384272 1173125914 2246728737 3542456614 2246699815 2661865929 864942730 1510328189 864942795 1510323402 3217380708 3982076256 3218693969 951226070 3218693969 951226070 2246728737 1861965050 2246728737 1861965050,1
27,3189457552 1078211001 2968968094 2131356872 2976816164 172434485 2041434490 631553871 3217380708 542690499 847957139 1083852209 3217380708 2238101436 3218693969 994485099 3217380708 2353112200 3218693969 951226070 3218693969 951226070 3217380708 368531313 3189457552 4195680018 3217380708 368531313 3217380708 2238101436 3218693969 994485099 3217380708 3162837314 864674487 2115476908 2245384272 4003049590 2245273601 2423543607 2246728737 3537119515 2246728737 3537119515 3218693969 951226070 3218693969 951226070 3217380708 2353112200 3218693969 3777168895 2041434490 3118255683 3218693969 725322217 2041434490 3118255683 3218693969 3777168895,1
28,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 4222851645 864942730 1510328189 2245273601 2603173879 2092489639 211903143 2968968094 2803848648 2968968094 2119439498 2976816164 1190989288 847961216 1693589848 2246699815 411967733 864942730 1510328189 2246728737 3545365497 2245384272 179836431 2245273601 2423543607 2246728737 3537119515 2246728737 3537119515 3217380708 3974650111 864942730 10565946 2245384272 1583799011 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2245273601 3411158823 864662311 1542633699 2976033787 179419379 2114006677 2238033879 2968968094 1334177065 3217380708 1842898132 3217380708 1842898132 2968968094 1824088295 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070,1
29,3351556771 1791271074 3217380708 503505867 3189457552 2950679810 2976816164 2624895325 2968968094 516041383 2976033787 3836271195 847690172 1188634672 2245384272 562443903 2245273601 1735424888 864662311 1542633699 2245273601 4073938295 847961216 1362518133 2246699815 411967733 864942730 1510328189 2246728737 3545365497 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3334525955 3218693969 994485099 3217380708 3988861584 2245384272 73745272 2245277810 1914229733 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2246728737 1861965050 2246728737 1861965050,1
30,1026928756 229197718 2245384272 4120224926 2245384272 1583799011 2245273601 4223976160 847961216 1362518133 2246699815 4222851645 864942730 1510328189 2245273601 4223976160 847961216 1362518133 2246699815 411967733 864942730 1510328189 2246728737 3545365497 2245384272 1582607016 2245273601 2423543607 2246728737 3537119515 2246728737 3537119515 2246699815 4222851645 864942730 1510328189 847961216 1362518133 2245273601 4073938295 2245273601 3411158823 864662311 1542633699 2976033787 469172305 2968968094 1824088295 3217380708 1710205153 864942730 10565946 2968968094 1824088295 2976033787 2085103825 2246699815 2806018737 864942730 1510328189 847961216 1362518133 2245273601 4066851934 2245273601 3004333805 2246728737 3537119515 2246728737 3537119515 2246699815 3895448669 864942730 1510328189 847690172 307457428 2245384272 563373568 2245384272 1510461303 2245384272 1173125914 2246728737 3542456614 2245384272 1582607016 2245273601 2423543607 2246728737 3537119515 2246728737 3537119515 2246728737 2592252298,1
31,3351556771 1880637161 3218693969 54936104 3217380708 4121755354 3218693969 951226070 3218693969 203749390 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2577837950 2041434490 1101907775 3217380708 3594646603 847961216 1868602760 2245384272 4203454020 2976033787 1739309282 2968968094 517457164 2976033787 1236995907 2246728737 1858577693 3218693969 994485099 848128881 3035449400 999334238 564293713 864942730 2228063684 864942730 2228063684 2246728737 3835273908 2246728737 3818546315 2245273601 3046105503 847694221 2575708250 2245384272 1583799011 2245384272 1510461303 2245384272 1173125914 2246728737 3542456614,1
32,882399112 3337745083 3217380708 1637836422 3218693969 994485099 3217380708 4121755354 3218693969 994485099 3217380708 1637836422 882399112 3337745083 3218693969 994485099 2245384272 74537039 2245273601 4073938295 847961216 1362518133 2246699815 1054767590 864942730 1510328189 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 3217380708 2994748777 3218693969 994485099 2246699815 1070821685 864942730 1510328189 847957139 2591432844 2246699815 1738265797 864942730 1510328189 848128881 3012778962 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245384272 603510687 2245384272 1173125914 2246728737 3542456614 2245273601 1735424888 864662311 1542633699 2245384272 562443903 847690172 314526925 2245384272 3957580956 3217380708 4121755354 3218693969 994485099 3217380708 3162837314 864674487 2076190208 2246728737 3975275337 3218693969 951226070 3218693969 98513984 3218693969 951226070,1
33,864942730 1510328189 2246699815 4222851645 847961216 717512901 2245384272 4203454020 2976033787 1730555933 2968968094 2117068077 2968968094 2142032900 2968968094 2142032900 2968968094 2142032900 2968968094 2117068077 2245273601 3103858517 2245384272 74537039 3217380708 4089138501 3218693969 994485099 3217380708 2360741695 3218693969 994485099 3217380708 2353112200 3218693969 951226070 3218693969 951226070 3217380708 3182824521 2041434490 1101907775 3217380708 1445852595 847957139 1083852209 3217380708 3982076256 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3124581743 2246728737 422715066 2245384272 1583799011 2245384272 1173125914 2246728737 3542456614,1
34,999334238 564293713 864942730 2228063684 864942730 2228063684 848128881 3035449400 2246728737 3818546315 3217380708 1449131080 3218693969 994485099 3217380708 2353112200 3218693969 994485099 3217380708 2994748777 3218693969 994485099 2246699815 1054767590 864942730 1510328189 847961216 1362518133 2245273601 1467778651 2246728737 3537119515 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 1637836422 882399112 3337745083 3218693969 951226070 3218693969 951226070 3217380708 68650007 3189457552 4197146180 3217380708 2438709758 2041434490 3458774156 2041434490 3458774156 2245277810 3644937218 847694221 2575704555 2245384272 73745272 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2246728737 3537123720 2246728737 3835273908,1
